2021.4.19 10:12:41:347   leftController:(0.23, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.01, -0.02)  rightControllerVel:(0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:358   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, 0.00, -0.02)  rightControllerVel:(0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:370   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, 0.00, -0.02)  rightControllerVel:(0.04, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:381   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, 0.00, -0.01)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:392   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.01, -0.01)  rightControllerVel:(0.03, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:404   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.07, -0.01, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:416   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.06, -0.02, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:425   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.06, -0.02, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:436   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.19 10:12:41:449   leftController:(0.24, 1.19, 0.48)  rightController:(0.12, 1.19, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.05, -0.04, -0.01)  rightControllerVel:(0.03, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
