2021.4.19 15:53:00:871   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.05, -0.10, -0.02)  rightControllerVel:(-0.08, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:882   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.05, -0.10, -0.02)  rightControllerVel:(-0.08, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:895   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.04, -0.09, -0.02)  rightControllerVel:(-0.06, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:904   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.10, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.03, -0.09, -0.01)  rightControllerVel:(-0.05, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:916   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.08, -0.01)  rightControllerVel:(-0.05, -0.14, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:928   leftController:(0.17, 1.10, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.07, 0.00)  rightControllerVel:(-0.04, -0.13, -0.06)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:941   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.06, 0.01)  rightControllerVel:(-0.04, -0.12, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:950   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.06, 0.01)  rightControllerVel:(-0.04, -0.11, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:961   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.04, 0.01)  rightControllerVel:(-0.04, -0.10, -0.06)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:971   leftController:(0.17, 1.09, 0.41)  rightController:(-0.24, 1.09, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.02, 1.56, 0.23)  leftControllerVel:(0.02, -0.04, 0.02)  rightControllerVel:(-0.04, -0.10, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
