2021.4.19 10:36:13:688   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.07, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:699   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.08, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:711   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.08, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:722   leftController:(0.10, 1.16, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.08, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:733   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.08, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:744   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.07, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:756   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.06, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:767   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.06, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:777   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.05, 0.02)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:789   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.05, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:800   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.04, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:812   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.04, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:824   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
