2021.4.12 11:36:39:804   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.06, 0.00, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:815   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.06, 0.00, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:826   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.06, 0.00, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:838   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.06, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:849   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.07, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:860   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.07, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:871   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.07, 0.01, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:882   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.08, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:893   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.08, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:904   leftController:(0.26, 0.98, -0.06)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.08, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
