2021.4.12 15:01:55:659   leftController:(0.49, 1.24, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.01, -0.21, 0.02)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:671   leftController:(0.49, 1.24, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, -0.23, 0.02)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:682   leftController:(0.49, 1.23, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, -0.25, 0.02)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:692   leftController:(0.49, 1.23, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.02, -0.27, 0.02)  rightControllerVel:(-0.05, 0.00, 0.00)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:704   leftController:(0.49, 1.23, -0.01)  rightController:(0.32, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.03, -0.28, 0.01)  rightControllerVel:(-0.07, 0.02, 0.01)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:715   leftController:(0.49, 1.22, -0.01)  rightController:(0.32, 1.18, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.02, -0.28, 0.01)  rightControllerVel:(-0.09, 0.05, 0.01)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:726   leftController:(0.49, 1.22, -0.01)  rightController:(0.32, 1.18, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, -0.26, 0.00)  rightControllerVel:(-0.12, 0.09, 0.02)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:737   leftController:(0.49, 1.22, -0.01)  rightController:(0.31, 1.18, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.01, -0.23, 0.00)  rightControllerVel:(-0.16, 0.12, 0.02)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:748   leftController:(0.49, 1.22, -0.01)  rightController:(0.31, 1.18, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.02, -0.21, -0.01)  rightControllerVel:(-0.20, 0.17, 0.02)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:761   leftController:(0.49, 1.21, -0.01)  rightController:(0.31, 1.18, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.03, -0.18, -0.01)  rightControllerVel:(-0.23, 0.23, 0.02)  leftTrackerVel:(0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
