2021.4.12 11:13:10:345   leftController:(0.34, 1.10, 0.14)  rightController:(-0.04, 1.32, 0.11)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.11, -0.18, 0.05)  rightControllerVel:(0.09, -0.69, 0.53)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:356   leftController:(0.34, 1.10, 0.14)  rightController:(-0.04, 1.31, 0.12)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.12, -0.19, 0.05)  rightControllerVel:(0.10, -0.74, 0.54)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:374   leftController:(0.35, 1.10, 0.14)  rightController:(-0.04, 1.30, 0.12)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.13, -0.21, 0.05)  rightControllerVel:(0.12, -0.80, 0.55)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:381   leftController:(0.35, 1.10, 0.14)  rightController:(-0.04, 1.29, 0.13)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.14, -0.23, 0.06)  rightControllerVel:(0.14, -0.84, 0.55)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:389   leftController:(0.35, 1.09, 0.14)  rightController:(-0.04, 1.28, 0.13)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.21, 1.60, -0.07)  leftControllerVel:(0.14, -0.25, 0.06)  rightControllerVel:(0.15, -0.87, 0.55)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:400   leftController:(0.35, 1.09, 0.14)  rightController:(-0.04, 1.27, 0.14)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.22, 1.60, -0.07)  leftControllerVel:(0.14, -0.28, 0.07)  rightControllerVel:(0.17, -0.92, 0.54)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:411   leftController:(0.35, 1.09, 0.14)  rightController:(-0.04, 1.26, 0.15)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.22, 1.60, -0.07)  leftControllerVel:(0.13, -0.31, 0.08)  rightControllerVel:(0.19, -0.97, 0.53)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.12 11:13:10:422   leftController:(0.35, 1.08, 0.14)  rightController:(-0.03, 1.25, 0.15)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.22, 1.60, -0.07)  leftControllerVel:(0.13, -0.33, 0.08)  rightControllerVel:(0.20, -1.00, 0.51)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:434   leftController:(0.35, 1.08, 0.14)  rightController:(-0.03, 1.24, 0.16)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.22, 1.60, -0.07)  leftControllerVel:(0.13, -0.36, 0.08)  rightControllerVel:(0.23, -1.04, 0.49)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:10:446   leftController:(0.36, 1.07, 0.14)  rightController:(-0.03, 1.22, 0.16)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.22, 1.60, -0.07)  leftControllerVel:(0.15, -0.39, 0.07)  rightControllerVel:(0.27, -1.07, 0.45)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
