2021.4.7 14:33:31:197   leftController:(0.22, 1.14, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.02, -0.21, 0.07)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:206   leftController:(0.22, 1.14, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.02, -0.20, 0.06)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:217   leftController:(0.22, 1.14, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.02, -0.19, 0.05)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:229   leftController:(0.22, 1.14, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.03, -0.16, 0.04)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:239   leftController:(0.22, 1.13, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.03, -0.15, 0.03)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:253   leftController:(0.22, 1.13, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.04, -0.15, 0.03)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:276   leftController:(0.22, 1.13, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.06, -0.15, 0.02)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:288   leftController:(0.22, 1.13, 0.34)  rightController:(0.00, 1.04, 0.34)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.06, -0.14, 0.02)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:299   leftController:(0.22, 1.13, 0.34)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.06, -0.14, 0.02)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:309   leftController:(0.22, 1.12, 0.34)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.05, -0.13, 0.01)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:320   leftController:(0.22, 1.12, 0.34)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.05, -0.10, 0.00)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:33:31:329   leftController:(0.22, 1.12, 0.34)  rightController:(0.00, 1.04, 0.33)  leftTracker:(-0.08, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.17, 1.54, 0.16)  leftControllerVel:(-0.05, -0.09, 0.00)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
