2021.4.7 15:02:05:382   leftController:(0.24, 1.13, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.03, -0.28, -0.03)  rightControllerVel:(0.02, -0.07, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:393   leftController:(0.24, 1.13, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.03, -0.31, -0.02)  rightControllerVel:(0.02, -0.09, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:402   leftController:(0.24, 1.12, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.02, -0.34, -0.02)  rightControllerVel:(0.02, -0.11, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:416   leftController:(0.24, 1.12, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.01, -0.42, -0.02)  rightControllerVel:(0.02, -0.16, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:425   leftController:(0.23, 1.11, 0.45)  rightController:(-0.11, 1.16, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.01, -0.46, -0.01)  rightControllerVel:(0.02, -0.17, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:435   leftController:(0.24, 1.11, 0.45)  rightController:(-0.11, 1.15, 0.43)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.00, -0.53, -0.01)  rightControllerVel:(0.03, -0.22, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:448   leftController:(0.24, 1.10, 0.45)  rightController:(-0.11, 1.15, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.01, -0.60, -0.01)  rightControllerVel:(0.03, -0.27, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:02:05:458   leftController:(0.24, 1.09, 0.45)  rightController:(-0.11, 1.15, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.02, -0.68, -0.01)  rightControllerVel:(0.05, -0.34, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:470   leftController:(0.24, 1.08, 0.45)  rightController:(-0.11, 1.14, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.03, -0.75, -0.01)  rightControllerVel:(0.06, -0.44, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:480   leftController:(0.24, 1.07, 0.45)  rightController:(-0.11, 1.14, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.03, -0.79, -0.02)  rightControllerVel:(0.07, -0.49, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:489   leftController:(0.24, 1.07, 0.45)  rightController:(-0.11, 1.13, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.03, -0.83, -0.03)  rightControllerVel:(0.07, -0.52, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:499   leftController:(0.24, 1.06, 0.45)  rightController:(-0.11, 1.13, 0.44)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.04, -0.87, -0.05)  rightControllerVel:(0.06, -0.60, 0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:511   leftController:(0.24, 1.05, 0.45)  rightController:(-0.11, 1.12, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.04, -0.88, -0.09)  rightControllerVel:(0.06, -0.65, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:523   leftController:(0.24, 1.04, 0.45)  rightController:(-0.11, 1.11, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.04, -0.87, -0.11)  rightControllerVel:(0.03, -0.70, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:535   leftController:(0.24, 1.03, 0.45)  rightController:(-0.11, 1.10, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.03, -0.79, -0.17)  rightControllerVel:(0.01, -0.72, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:548   leftController:(0.24, 1.02, 0.44)  rightController:(-0.11, 1.09, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.03, -0.68, -0.21)  rightControllerVel:(0.00, -0.68, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:558   leftController:(0.24, 1.01, 0.44)  rightController:(-0.11, 1.08, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(0.01, -0.54, -0.24)  rightControllerVel:(-0.01, -0.63, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:577   leftController:(0.24, 1.01, 0.44)  rightController:(-0.11, 1.08, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.02, -0.33, -0.26)  rightControllerVel:(0.00, -0.46, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:586   leftController:(0.24, 1.01, 0.44)  rightController:(-0.11, 1.07, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.05, -0.18, -0.25)  rightControllerVel:(0.02, -0.31, -0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 15:02:05:595   leftController:(0.24, 1.01, 0.43)  rightController:(-0.11, 1.07, 0.45)  leftTracker:(-0.07, 0.17, 0.08)  rightTracker:(0.24, 0.15, 0.05)  headset:(0.08, 1.55, 0.17)  leftControllerVel:(-0.06, -0.13, -0.25)  rightControllerVel:(0.03, -0.20, -0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
