2021.4.7 14:36:17:82   leftController:(0.23, 1.20, 0.34)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.16, -0.42, 0.22)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:92   leftController:(0.23, 1.20, 0.34)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.16, -0.45, 0.22)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:101   leftController:(0.23, 1.19, 0.34)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.16, -0.48, 0.22)  rightControllerVel:(0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.7 14:36:17:110   leftController:(0.23, 1.19, 0.34)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.15, -0.52, 0.21)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:128   leftController:(0.23, 1.18, 0.35)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.13, -0.57, 0.20)  rightControllerVel:(0.03, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:141   leftController:(0.23, 1.17, 0.35)  rightController:(-0.09, 0.93, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.11, -0.61, 0.18)  rightControllerVel:(0.03, 0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:155   leftController:(0.24, 1.16, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.10, -0.62, 0.15)  rightControllerVel:(0.03, 0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:166   leftController:(0.24, 1.16, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.09, -0.62, 0.12)  rightControllerVel:(0.04, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:181   leftController:(0.24, 1.15, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.08, -0.60, 0.07)  rightControllerVel:(0.03, 0.07, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:191   leftController:(0.24, 1.14, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.12, 1.54, 0.14)  leftControllerVel:(0.07, -0.56, 0.04)  rightControllerVel:(0.03, 0.08, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:200   leftController:(0.24, 1.14, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, -0.53, 0.02)  rightControllerVel:(0.03, 0.10, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:36:17:209   leftController:(0.24, 1.13, 0.35)  rightController:(-0.09, 0.93, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.29, 0.15, 0.02)  headset:(0.13, 1.54, 0.14)  leftControllerVel:(0.06, -0.47, -0.01)  rightControllerVel:(0.03, 0.12, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
