2021.4.7 14:38:50:944   leftController:(0.25, 1.04, 0.38)  rightController:(-0.16, 0.80, 0.28)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(0.11, 0.64, -0.02)  rightControllerVel:(0.17, 1.19, 1.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:955   leftController:(0.25, 1.04, 0.38)  rightController:(-0.16, 0.81, 0.29)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(0.06, 0.70, -0.06)  rightControllerVel:(0.23, 1.24, 0.93)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:965   leftController:(0.25, 1.05, 0.37)  rightController:(-0.16, 0.83, 0.30)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(-0.02, 0.74, -0.11)  rightControllerVel:(0.28, 1.26, 0.85)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:980   leftController:(0.25, 1.06, 0.37)  rightController:(-0.15, 0.84, 0.31)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(-0.14, 0.73, -0.18)  rightControllerVel:(0.33, 1.26, 0.75)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:50:995   leftController:(0.25, 1.07, 0.37)  rightController:(-0.14, 0.86, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(-0.18, 0.68, -0.24)  rightControllerVel:(0.38, 1.19, 0.62)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:04   leftController:(0.24, 1.08, 0.36)  rightController:(-0.14, 0.87, 0.32)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(-0.21, 0.61, -0.27)  rightControllerVel:(0.39, 1.14, 0.55)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:12   leftController:(0.24, 1.08, 0.36)  rightController:(-0.14, 0.88, 0.33)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.15, 1.52, 0.19)  leftControllerVel:(-0.20, 0.56, -0.27)  rightControllerVel:(0.39, 1.07, 0.50)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:22   leftController:(0.24, 1.09, 0.36)  rightController:(-0.13, 0.89, 0.33)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.52, 0.19)  leftControllerVel:(-0.18, 0.49, -0.26)  rightControllerVel:(0.38, 0.97, 0.43)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:35   leftController:(0.24, 1.09, 0.36)  rightController:(-0.13, 0.90, 0.33)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.52, 0.19)  leftControllerVel:(-0.11, 0.32, -0.18)  rightControllerVel:(0.36, 0.87, 0.39)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:43   leftController:(0.24, 1.09, 0.35)  rightController:(-0.13, 0.90, 0.34)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.52, 0.20)  leftControllerVel:(-0.07, 0.22, -0.11)  rightControllerVel:(0.32, 0.76, 0.37)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:55   leftController:(0.24, 1.09, 0.36)  rightController:(-0.13, 0.91, 0.34)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.52, 0.20)  leftControllerVel:(-0.01, 0.04, 0.03)  rightControllerVel:(0.26, 0.63, 0.36)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:65   leftController:(0.24, 1.09, 0.36)  rightController:(-0.13, 0.92, 0.34)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.52, 0.20)  leftControllerVel:(0.04, -0.11, 0.14)  rightControllerVel:(0.15, 0.50, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:75   leftController:(0.24, 1.08, 0.36)  rightController:(-0.13, 0.92, 0.35)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.51, 0.20)  leftControllerVel:(0.06, -0.30, 0.26)  rightControllerVel:(0.08, 0.39, 0.36)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:86   leftController:(0.24, 1.08, 0.36)  rightController:(-0.13, 0.92, 0.35)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.51, 0.20)  leftControllerVel:(0.06, -0.49, 0.32)  rightControllerVel:(0.00, 0.25, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:97   leftController:(0.24, 1.07, 0.37)  rightController:(-0.13, 0.92, 0.35)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.51, 0.20)  leftControllerVel:(0.06, -0.64, 0.37)  rightControllerVel:(-0.05, 0.11, 0.38)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.7 14:38:51:108   leftController:(0.24, 1.06, 0.37)  rightController:(-0.13, 0.92, 0.36)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.51, 0.20)  leftControllerVel:(0.01, -0.80, 0.37)  rightControllerVel:(-0.10, 0.02, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:38:51:121   leftController:(0.24, 1.05, 0.38)  rightController:(-0.13, 0.92, 0.36)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.14, 1.51, 0.20)  leftControllerVel:(-0.07, -0.95, 0.33)  rightControllerVel:(-0.12, -0.07, 0.35)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:38:51:137   leftController:(0.24, 1.03, 0.38)  rightController:(-0.13, 0.92, 0.37)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.13, 1.51, 0.21)  leftControllerVel:(-0.25, -1.08, 0.20)  rightControllerVel:(-0.07, -0.11, 0.29)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.7 14:38:51:156   leftController:(0.23, 1.01, 0.38)  rightController:(-0.13, 0.92, 0.37)  leftTracker:(-0.09, 0.16, 0.07)  rightTracker:(0.27, 0.13, 0.03)  headset:(0.13, 1.51, 0.21)  leftControllerVel:(-0.37, -0.99, 0.06)  rightControllerVel:(0.03, -0.03, 0.20)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
