2021.4.7 14:59:24:221   leftController:(0.01, 1.08, 0.26)  rightController:(-0.26, 1.20, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.06, -0.01, 0.06)  rightControllerVel:(0.04, -0.17, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:234   leftController:(0.01, 1.08, 0.26)  rightController:(-0.26, 1.20, 0.31)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.07, -0.02, 0.07)  rightControllerVel:(0.03, -0.19, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:242   leftController:(0.01, 1.08, 0.26)  rightController:(-0.26, 1.20, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.08, -0.02, 0.08)  rightControllerVel:(0.03, -0.21, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:253   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.20, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.08, -0.03, 0.08)  rightControllerVel:(0.02, -0.23, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:264   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.19, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.08, -0.04, 0.09)  rightControllerVel:(0.02, -0.25, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:281   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.19, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.07, -0.05, 0.09)  rightControllerVel:(0.01, -0.26, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:291   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.19, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.07, -0.06, 0.10)  rightControllerVel:(0.00, -0.27, 0.13)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:303   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.18, 0.32)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.06, -0.07, 0.10)  rightControllerVel:(0.00, -0.28, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:313   leftController:(0.01, 1.08, 0.27)  rightController:(-0.26, 1.18, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.05, -0.09, 0.10)  rightControllerVel:(0.00, -0.29, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:329   leftController:(0.01, 1.07, 0.27)  rightController:(-0.26, 1.18, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.04, -0.12, 0.11)  rightControllerVel:(0.00, -0.30, 0.12)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:338   leftController:(0.02, 1.07, 0.28)  rightController:(-0.26, 1.17, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.02, -0.14, 0.11)  rightControllerVel:(0.00, -0.31, 0.12)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:347   leftController:(0.02, 1.07, 0.28)  rightController:(-0.26, 1.17, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.16, 0.11)  rightControllerVel:(0.00, -0.32, 0.12)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.7 14:59:24:356   leftController:(0.02, 1.07, 0.28)  rightController:(-0.26, 1.17, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.17, 0.11)  rightControllerVel:(0.00, -0.34, 0.12)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:365   leftController:(0.02, 1.07, 0.28)  rightController:(-0.26, 1.16, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.18, 0.11)  rightControllerVel:(0.01, -0.35, 0.11)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:378   leftController:(0.02, 1.07, 0.28)  rightController:(-0.26, 1.16, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.20, 0.10)  rightControllerVel:(0.02, -0.35, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:390   leftController:(0.02, 1.06, 0.28)  rightController:(-0.26, 1.15, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.01, -0.20, 0.10)  rightControllerVel:(0.02, -0.34, 0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:399   leftController:(0.02, 1.06, 0.28)  rightController:(-0.26, 1.15, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.02, -0.20, 0.09)  rightControllerVel:(0.03, -0.33, 0.06)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:410   leftController:(0.02, 1.06, 0.28)  rightController:(-0.26, 1.15, 0.33)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.57, 0.04)  leftControllerVel:(0.03, -0.20, 0.07)  rightControllerVel:(0.02, -0.31, 0.05)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 14:59:24:425   leftController:(0.02, 1.06, 0.28)  rightController:(-0.26, 1.14, 0.34)  leftTracker:(-0.27, 0.17, -0.02)  rightTracker:(-0.03, 0.15, -0.04)  headset:(-0.13, 1.56, 0.05)  leftControllerVel:(0.04, -0.19, 0.06)  rightControllerVel:(0.02, -0.28, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
