2021.4.7 15:04:33:94   leftController:(0.26, 0.98, 0.50)  rightController:(-0.06, 0.99, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.05, -0.82, -0.23)  rightControllerVel:(-0.05, -0.62, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:107   leftController:(0.26, 0.97, 0.49)  rightController:(-0.06, 0.98, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.03, -0.83, -0.26)  rightControllerVel:(-0.06, -0.64, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:117   leftController:(0.26, 0.96, 0.49)  rightController:(-0.06, 0.97, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.02, -0.83, -0.27)  rightControllerVel:(-0.07, -0.67, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:127   leftController:(0.26, 0.95, 0.49)  rightController:(-0.06, 0.97, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.01, -0.84, -0.28)  rightControllerVel:(-0.07, -0.68, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:136   leftController:(0.26, 0.95, 0.49)  rightController:(-0.06, 0.96, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.85, -0.30)  rightControllerVel:(-0.07, -0.68, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:146   leftController:(0.26, 0.94, 0.48)  rightController:(-0.06, 0.95, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.86, -0.31)  rightControllerVel:(-0.07, -0.69, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:163   leftController:(0.26, 0.92, 0.48)  rightController:(-0.06, 0.94, 0.45)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(-0.01, -0.88, -0.34)  rightControllerVel:(-0.07, -0.69, -0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:179   leftController:(0.26, 0.91, 0.47)  rightController:(-0.06, 0.93, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.21)  leftControllerVel:(0.00, -0.89, -0.36)  rightControllerVel:(-0.08, -0.70, -0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:188   leftController:(0.26, 0.90, 0.47)  rightController:(-0.06, 0.92, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.01, -0.90, -0.37)  rightControllerVel:(-0.08, -0.70, -0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.7 15:04:33:200   leftController:(0.26, 0.89, 0.46)  rightController:(-0.07, 0.92, 0.44)  leftTracker:(-0.04, 0.17, 0.13)  rightTracker:(0.28, 0.15, 0.12)  headset:(0.11, 1.55, 0.22)  leftControllerVel:(0.03, -0.91, -0.39)  rightControllerVel:(-0.09, -0.70, -0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
