2021.4.28 16:13:19:04   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:15   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:27   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:38   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:48   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:59   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:71   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:81   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.01, 0.01, -0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:93   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.02, 0.01, -0.03)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:105   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.03, 0.01, -0.03)  rightControllerVel:(0.04, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:118   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.04, 0.01, -0.03)  rightControllerVel:(0.04, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:126   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(0.05, 0.01, -0.03)  rightControllerVel:(0.04, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:138   leftController:(0.14, 1.22, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.64, 0.19)  leftControllerVel:(0.06, 0.00, -0.03)  rightControllerVel:(0.05, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:148   leftController:(0.14, 1.22, 0.45)  rightController:(-0.06, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.64, 0.19)  leftControllerVel:(0.08, 0.00, -0.03)  rightControllerVel:(0.05, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:19:160   leftController:(0.14, 1.22, 0.45)  rightController:(-0.06, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.64, 0.19)  leftControllerVel:(0.09, -0.01, -0.03)  rightControllerVel:(0.06, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
