2021.4.28 17:12:22:12   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.05, 0.00)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:23   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.05, 0.00)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:35   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.05, -0.01)  rightControllerVel:(0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:47   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.06, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:57   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.06, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:68   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.06, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:80   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.06, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:90   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.56, 0.10)  leftControllerVel:(0.04, -0.04, -0.01)  rightControllerVel:(0.06, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:102   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.55, 0.11)  leftControllerVel:(0.04, -0.03, -0.01)  rightControllerVel:(0.05, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 17:12:22:113   leftController:(-0.12, 1.19, 0.33)  rightController:(-0.36, 1.17, 0.37)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.55, 0.11)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(0.05, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
