2021.4.27 11:08:47:850   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:864   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:872   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:883   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:894   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:905   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:917   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:929   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:938   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:950   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:961   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:972   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:983   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:995   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:07   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:16   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:28   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:39   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:52   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:61   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:72   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:84   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:95   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, 0.00, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:107   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:48:117   leftController:(0.17, 1.20, -0.20)  rightController:(0.38, 1.21, -0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.39)  leftControllerVel:(0.02, -0.01, 0.02)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
