2021.4.28 16:32:04:504   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.03, -0.04, 0.00)  rightControllerVel:(0.02, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:515   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.82)  leftControllerVel:(0.05, -0.04, 0.01)  rightControllerVel:(0.02, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:526   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.06, -0.05, 0.01)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:538   leftController:(0.05, 1.06, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.08, -0.06, 0.02)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:548   leftController:(0.05, 1.05, 1.03)  rightController:(-0.09, 1.17, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.08, -0.08, 0.02)  rightControllerVel:(0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:560   leftController:(0.05, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.07, -0.09, 0.02)  rightControllerVel:(0.01, -0.08, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:572   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.06, -0.10, 0.01)  rightControllerVel:(0.01, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:583   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.06, -0.10, 0.01)  rightControllerVel:(0.00, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:593   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.58, 0.81)  leftControllerVel:(0.05, -0.11, 0.01)  rightControllerVel:(0.00, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:604   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.58, 0.81)  leftControllerVel:(0.05, -0.11, 0.01)  rightControllerVel:(-0.01, -0.09, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:615   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.05, -0.12, 0.01)  rightControllerVel:(-0.03, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:626   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.05, -0.12, 0.00)  rightControllerVel:(-0.04, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:638   leftController:(0.06, 1.05, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.58, 0.81)  leftControllerVel:(0.03, -0.12, -0.01)  rightControllerVel:(-0.04, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:649   leftController:(0.06, 1.04, 1.03)  rightController:(-0.09, 1.16, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.58, 0.81)  leftControllerVel:(0.01, -0.11, -0.02)  rightControllerVel:(-0.04, -0.11, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:660   leftController:(0.06, 1.04, 1.03)  rightController:(-0.10, 1.15, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.58, 0.81)  leftControllerVel:(0.00, -0.10, -0.02)  rightControllerVel:(-0.04, -0.12, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:32:04:673   leftController:(0.06, 1.04, 1.03)  rightController:(-0.10, 1.15, 1.01)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.57, 0.81)  leftControllerVel:(0.00, -0.08, -0.02)  rightControllerVel:(-0.04, -0.12, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
