2021.4.6 18:08:56:197   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.04, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:208   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.05, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:219   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.05, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:239   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(-0.05, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:250   leftController:(-0.24, 0.70, 0.15)  rightController:(0.13, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.12)  headset:(-0.07, 1.66, 0.12)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(-0.06, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:260   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.02)  rightControllerVel:(-0.07, -0.06, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:273   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.08, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:282   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.08, -0.08, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:292   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.08, -0.08, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:300   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.08, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.6 18:08:56:309   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.08, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:320   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.69)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.07, -0.09, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:334   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.06, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:344   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.40, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.06, -0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:353   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.06, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:366   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.12)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.06, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:377   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.06, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:393   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.06, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:404   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.06, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:417   leftController:(-0.24, 0.70, 0.15)  rightController:(0.12, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.05, -0.07, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:431   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:441   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.09, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:457   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.04, -0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:469   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.39, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.13, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:480   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.38, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.13, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:491   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.38, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.15, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:501   leftController:(-0.24, 0.70, 0.15)  rightController:(0.11, 1.38, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.05, -0.16, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:514   leftController:(-0.25, 0.70, 0.15)  rightController:(0.11, 1.38, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.05, -0.18, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:08:56:529   leftController:(-0.25, 0.70, 0.15)  rightController:(0.11, 1.37, 0.70)  leftTracker:(-0.17, 0.18, 0.06)  rightTracker:(0.09, 0.16, 0.13)  headset:(-0.07, 1.65, 0.13)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.06, -0.21, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
