2021.4.6 18:03:34:138   leftController:(-0.17, 0.74, 0.15)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.07, 0.22, 0.40)  rightControllerVel:(-0.03, -0.07, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:150   leftController:(-0.17, 0.74, 0.16)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.08, 0.26, 0.46)  rightControllerVel:(-0.01, -0.02, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:161   leftController:(-0.17, 0.75, 0.16)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.09, 0.29, 0.49)  rightControllerVel:(0.01, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:172   leftController:(-0.17, 0.75, 0.17)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.14, 0.34, 0.56)  rightControllerVel:(0.03, 0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:183   leftController:(-0.16, 0.76, 0.18)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.15, 0.37, 0.59)  rightControllerVel:(0.04, 0.08, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:195   leftController:(-0.16, 0.76, 0.18)  rightController:(0.16, 1.15, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.16, 0.42, 0.63)  rightControllerVel:(0.05, 0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:210   leftController:(-0.16, 0.77, 0.19)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.18, 0.47, 0.68)  rightControllerVel:(0.06, 0.16, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:218   leftController:(-0.16, 0.77, 0.20)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.18, 0.50, 0.70)  rightControllerVel:(0.06, 0.19, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:228   leftController:(-0.16, 0.78, 0.21)  rightController:(0.16, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.19, 0.52, 0.72)  rightControllerVel:(0.07, 0.21, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.6 18:03:34:239   leftController:(-0.15, 0.78, 0.22)  rightController:(0.17, 1.16, 0.50)  leftTracker:(-0.08, 0.18, 0.04)  rightTracker:(0.17, 0.17, 0.06)  headset:(0.03, 1.66, 0.08)  leftControllerVel:(0.20, 0.56, 0.73)  rightControllerVel:(0.07, 0.23, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
