2021.4.16 16:35:15:255   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:266   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:277   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:287   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:299   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:310   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:321   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:332   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:343   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.05, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:15:356   leftController:(0.23, 1.15, 0.04)  rightController:(0.50, 1.08, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.06, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
