2021.4.16 15:35:40:865   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.08, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:876   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.08, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:887   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.07, 0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:898   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.06, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:911   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.05, 0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:921   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.04, 0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:931   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.04, 0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:943   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.04, 0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:954   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.04, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:965   leftController:(-0.27, 1.33, 0.03)  rightController:(0.08, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.03, 0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:976   leftController:(-0.27, 1.33, 0.03)  rightController:(0.09, 1.14, -0.02)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.02, 0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
