2021.4.5 14:45:42:200   leftController:(0.08, 1.18, 0.30)  rightController:(-0.22, 1.17, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:210   leftController:(0.09, 1.19, 0.30)  rightController:(-0.22, 1.17, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:222   leftController:(0.09, 1.19, 0.30)  rightController:(-0.22, 1.16, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:233   leftController:(0.09, 1.19, 0.30)  rightController:(-0.22, 1.16, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:249   leftController:(0.09, 1.20, 0.30)  rightController:(-0.23, 1.15, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:260   leftController:(0.09, 1.20, 0.30)  rightController:(-0.23, 1.15, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:279   leftController:(0.09, 1.20, 0.30)  rightController:(-0.23, 1.14, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:294   leftController:(0.09, 1.20, 0.30)  rightController:(-0.23, 1.14, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:304   leftController:(0.09, 1.20, 0.30)  rightController:(-0.23, 1.13, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:315   leftController:(0.09, 1.19, 0.31)  rightController:(-0.23, 1.13, 0.34)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
