2021.4.5 14:37:06:949   leftController:(0.27, 1.09, 0.74)  rightController:(-0.13, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:970   leftController:(0.27, 1.08, 0.74)  rightController:(-0.12, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:06:992   leftController:(0.27, 1.08, 0.74)  rightController:(-0.12, 0.86, 0.68)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:13   leftController:(0.27, 1.08, 0.74)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:36   leftController:(0.27, 1.08, 0.74)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:52   leftController:(0.27, 1.07, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:62   leftController:(0.27, 1.07, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:77   leftController:(0.27, 1.07, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:91   leftController:(0.27, 1.07, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.08, 1.51, 0.52)
2021.4.5 14:37:07:104   leftController:(0.27, 1.07, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.52)
2021.4.5 14:37:07:113   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:124   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:134   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:144   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:156   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:169   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:180   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:195   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:210   leftController:(0.27, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:221   leftController:(0.28, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:231   leftController:(0.28, 1.06, 0.75)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:241   leftController:(0.28, 1.06, 0.74)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:260   leftController:(0.28, 1.07, 0.74)  rightController:(-0.12, 0.86, 0.69)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.53)
2021.4.5 14:37:07:272   leftController:(0.28, 1.07, 0.74)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.53)
2021.4.5 14:37:07:286   leftController:(0.28, 1.07, 0.74)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.53)
2021.4.5 14:37:07:297   leftController:(0.28, 1.07, 0.74)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.53)
2021.4.5 14:37:07:307   leftController:(0.28, 1.07, 0.74)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.54)
2021.4.5 14:37:07:317   leftController:(0.29, 1.08, 0.74)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.54)
2021.4.5 14:37:07:328   leftController:(0.29, 1.08, 0.73)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.54)
2021.4.5 14:37:07:338   leftController:(0.29, 1.08, 0.73)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.54)
2021.4.5 14:37:07:350   leftController:(0.29, 1.09, 0.73)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.50, 0.54)
2021.4.5 14:37:07:372   leftController:(0.29, 1.09, 0.72)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.55)
2021.4.5 14:37:07:386   leftController:(0.29, 1.10, 0.72)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.55)
2021.4.5 14:37:07:397   leftController:(0.29, 1.10, 0.72)  rightController:(-0.11, 0.86, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.55)
2021.4.5 14:37:07:408   leftController:(0.29, 1.11, 0.72)  rightController:(-0.11, 0.87, 0.70)  leftTracker:(-0.16, 0.18, 0.32)  rightTracker:(0.08, 0.17, 0.37)  headset:(0.09, 1.51, 0.55)
