2021.4.5 14:54:28:07   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:15   leftController:(0.24, 1.15, 0.27)  rightController:(-0.05, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:25   leftController:(0.24, 1.15, 0.27)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:34   leftController:(0.24, 1.15, 0.27)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:43   leftController:(0.24, 1.15, 0.27)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:53   leftController:(0.24, 1.15, 0.27)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:62   leftController:(0.24, 1.15, 0.27)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:72   leftController:(0.24, 1.15, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:84   leftController:(0.24, 1.15, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:106   leftController:(0.24, 1.15, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:116   leftController:(0.24, 1.15, 0.28)  rightController:(-0.06, 1.15, 0.32)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
