2021.4.5 20:01:29:397   leftController:(0.30, 1.09, 0.32)  rightController:(-0.03, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:406   leftController:(0.30, 1.09, 0.32)  rightController:(-0.03, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:415   leftController:(0.30, 1.09, 0.32)  rightController:(-0.03, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:426   leftController:(0.30, 1.09, 0.32)  rightController:(-0.03, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:437   leftController:(0.30, 1.09, 0.32)  rightController:(-0.03, 1.06, 0.25)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:455   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.06, 0.24)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:474   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.06, 0.24)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:483   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.06, 0.24)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:491   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.06, 0.24)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:500   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.05, 0.23)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:509   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.05, 0.23)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:517   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.05, 0.23)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:526   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.05, 0.23)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
2021.4.5 20:01:29:539   leftController:(0.30, 1.08, 0.32)  rightController:(-0.03, 1.05, 0.23)  leftTracker:(-0.01, 0.24, -0.07)  rightTracker:(0.25, 0.25, -0.04)  headset:(0.12, 1.59, 0.04)
