2021.4.5 20:06:55:73   leftController:(0.35, 1.09, 0.28)  rightController:(-0.07, 1.06, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:84   leftController:(0.35, 1.09, 0.28)  rightController:(-0.08, 1.05, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:93   leftController:(0.35, 1.09, 0.28)  rightController:(-0.08, 1.05, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.25, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:106   leftController:(0.35, 1.09, 0.28)  rightController:(-0.08, 1.05, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:119   leftController:(0.35, 1.09, 0.28)  rightController:(-0.09, 1.05, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:131   leftController:(0.36, 1.09, 0.28)  rightController:(-0.09, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.60, -0.03)
2021.4.5 20:06:55:143   leftController:(0.36, 1.09, 0.28)  rightController:(-0.10, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:156   leftController:(0.36, 1.09, 0.28)  rightController:(-0.10, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:166   leftController:(0.36, 1.09, 0.28)  rightController:(-0.10, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:175   leftController:(0.37, 1.09, 0.28)  rightController:(-0.11, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:185   leftController:(0.37, 1.09, 0.28)  rightController:(-0.11, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:196   leftController:(0.37, 1.09, 0.28)  rightController:(-0.11, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:208   leftController:(0.37, 1.09, 0.28)  rightController:(-0.12, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:221   leftController:(0.38, 1.09, 0.28)  rightController:(-0.12, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
2021.4.5 20:06:55:231   leftController:(0.38, 1.09, 0.28)  rightController:(-0.12, 1.05, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.13, 1.59, -0.03)
