2021.4.5 20:28:11:94   leftController:(-0.07, 1.12, 0.50)  rightController:(0.36, 1.03, 0.40)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.08, 1.63, 0.17)
2021.4.5 20:28:11:116   leftController:(-0.07, 1.14, 0.49)  rightController:(0.36, 1.05, 0.41)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.08, 1.63, 0.17)
2021.4.5 20:28:11:126   leftController:(-0.06, 1.15, 0.49)  rightController:(0.35, 1.06, 0.41)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.09, 1.63, 0.16)
2021.4.5 20:28:11:137   leftController:(-0.06, 1.16, 0.50)  rightController:(0.36, 1.07, 0.42)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.09, 1.62, 0.16)
2021.4.5 20:28:11:150   leftController:(-0.05, 1.16, 0.50)  rightController:(0.35, 1.08, 0.42)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.09, 1.62, 0.16)
2021.4.5 20:28:11:161   leftController:(-0.05, 1.16, 0.50)  rightController:(0.35, 1.09, 0.42)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.09, 1.62, 0.16)
2021.4.5 20:28:11:171   leftController:(-0.05, 1.15, 0.51)  rightController:(0.35, 1.10, 0.43)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.09, 1.62, 0.16)
2021.4.5 20:28:11:181   leftController:(-0.05, 1.15, 0.51)  rightController:(0.35, 1.10, 0.43)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.10, 1.62, 0.16)
2021.4.5 20:28:11:191   leftController:(-0.05, 1.14, 0.52)  rightController:(0.35, 1.11, 0.43)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.10, 1.62, 0.15)
2021.4.5 20:28:11:208   leftController:(-0.04, 1.13, 0.52)  rightController:(0.35, 1.11, 0.44)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.10, 1.61, 0.15)
2021.4.5 20:28:11:217   leftController:(-0.04, 1.13, 0.53)  rightController:(0.35, 1.11, 0.44)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.10, 1.61, 0.15)
2021.4.5 20:28:11:226   leftController:(-0.04, 1.13, 0.53)  rightController:(0.35, 1.11, 0.44)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.11, 1.62, 0.15)
2021.4.5 20:28:11:237   leftController:(-0.04, 1.13, 0.52)  rightController:(0.35, 1.11, 0.44)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.11, 1.62, 0.15)
2021.4.5 20:28:11:252   leftController:(-0.04, 1.13, 0.52)  rightController:(0.36, 1.11, 0.45)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.11, 1.62, 0.15)
2021.4.5 20:28:11:261   leftController:(-0.03, 1.14, 0.52)  rightController:(0.36, 1.11, 0.45)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.12, 1.62, 0.15)
2021.4.5 20:28:11:270   leftController:(-0.03, 1.15, 0.52)  rightController:(0.36, 1.10, 0.45)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.12, 1.62, 0.15)
2021.4.5 20:28:11:280   leftController:(-0.03, 1.15, 0.51)  rightController:(0.36, 1.10, 0.45)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.12, 1.62, 0.15)
2021.4.5 20:28:11:293   leftController:(-0.02, 1.16, 0.51)  rightController:(0.36, 1.10, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.13, 1.62, 0.15)
2021.4.5 20:28:11:303   leftController:(-0.02, 1.16, 0.50)  rightController:(0.36, 1.10, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.13, 1.62, 0.15)
2021.4.5 20:28:11:312   leftController:(-0.02, 1.16, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.13, 1.62, 0.15)
2021.4.5 20:28:11:323   leftController:(-0.02, 1.16, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.20, 0.23, 0.04)  headset:(0.13, 1.62, 0.15)
2021.4.5 20:28:11:335   leftController:(-0.02, 1.16, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.21, 0.24, 0.04)  headset:(0.13, 1.62, 0.15)
2021.4.5 20:28:11:344   leftController:(-0.01, 1.15, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.08, 0.24, 0.05)  rightTracker:(0.21, 0.24, 0.04)  headset:(0.14, 1.62, 0.15)
2021.4.5 20:28:11:352   leftController:(-0.02, 1.15, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.24, 0.04)  headset:(0.14, 1.62, 0.15)
2021.4.5 20:28:11:364   leftController:(-0.02, 1.14, 0.50)  rightController:(0.36, 1.09, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.24, 0.04)  headset:(0.14, 1.62, 0.15)
2021.4.5 20:28:11:376   leftController:(-0.02, 1.14, 0.50)  rightController:(0.36, 1.10, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.24, 0.04)  headset:(0.14, 1.62, 0.15)
2021.4.5 20:28:11:390   leftController:(-0.02, 1.14, 0.50)  rightController:(0.36, 1.10, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.15, 1.62, 0.15)
2021.4.5 20:28:11:400   leftController:(-0.02, 1.14, 0.50)  rightController:(0.35, 1.10, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.15, 1.61, 0.15)
2021.4.5 20:28:11:408   leftController:(-0.02, 1.14, 0.49)  rightController:(0.35, 1.11, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.15, 1.61, 0.15)
2021.4.5 20:28:11:421   leftController:(-0.02, 1.14, 0.49)  rightController:(0.35, 1.11, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.15, 1.61, 0.15)
2021.4.5 20:28:11:433   leftController:(-0.01, 1.14, 0.49)  rightController:(0.35, 1.11, 0.46)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.16, 1.61, 0.15)
2021.4.5 20:28:11:441   leftController:(-0.01, 1.14, 0.48)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.16, 1.61, 0.15)
2021.4.5 20:28:11:452   leftController:(-0.01, 1.14, 0.48)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.16, 1.61, 0.16)
2021.4.5 20:28:11:463   leftController:(-0.01, 1.14, 0.47)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.16, 1.61, 0.16)
2021.4.5 20:28:11:477   leftController:(-0.01, 1.14, 0.47)  rightController:(0.35, 1.12, 0.45)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.17, 1.61, 0.16)
