2021.4.5 20:15:00:394   leftController:(-0.03, 1.12, 0.20)  rightController:(0.22, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:410   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:422   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.10, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:434   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:444   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:453   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:463   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:471   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:480   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:490   leftController:(-0.03, 1.13, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:503   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:517   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:526   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:534   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:543   leftController:(-0.03, 1.14, 0.20)  rightController:(0.22, 1.11, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
