2021.4.5 20:04:05:339   leftController:(0.30, 1.06, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.13)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.62, -0.02)
2021.4.5 20:04:05:350   leftController:(0.30, 1.06, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:359   leftController:(0.30, 1.06, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:369   leftController:(0.30, 1.05, 0.24)  rightController:(-0.03, 0.97, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:379   leftController:(0.30, 1.05, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:390   leftController:(0.31, 1.05, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:404   leftController:(0.31, 1.04, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:416   leftController:(0.31, 1.04, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:424   leftController:(0.31, 1.04, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:435   leftController:(0.31, 1.04, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:452   leftController:(0.31, 1.03, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:461   leftController:(0.32, 1.03, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:470   leftController:(0.32, 1.03, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.13, 1.63, -0.02)
2021.4.5 20:04:05:481   leftController:(0.32, 1.03, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.02)
2021.4.5 20:04:05:493   leftController:(0.32, 1.03, 0.24)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.02)
2021.4.5 20:04:05:504   leftController:(0.32, 1.03, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.02)
2021.4.5 20:04:05:513   leftController:(0.32, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.63, -0.02)
2021.4.5 20:04:05:524   leftController:(0.32, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.02)
2021.4.5 20:04:05:536   leftController:(0.32, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:549   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:558   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:569   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:581   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.16)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:595   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:603   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
2021.4.5 20:04:05:614   leftController:(0.33, 1.02, 0.23)  rightController:(-0.03, 0.96, 0.17)  leftTracker:(0.01, 0.25, -0.12)  rightTracker:(0.23, 0.24, -0.09)  headset:(0.14, 1.62, -0.01)
