2021.4.4 22:15:46:876   leftController:(-0.03, 1.07, 0.20)  rightController:(0.49, 1.20, 0.15)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.54, -0.09)
2021.4.4 22:15:46:887   leftController:(-0.02, 1.07, 0.20)  rightController:(0.50, 1.20, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.17, 1.54, -0.09)
2021.4.4 22:15:46:898   leftController:(-0.02, 1.06, 0.20)  rightController:(0.49, 1.20, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.17, 1.54, -0.09)
2021.4.4 22:15:46:910   leftController:(-0.02, 1.06, 0.20)  rightController:(0.49, 1.19, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.17, 1.54, -0.09)
2021.4.4 22:15:46:921   leftController:(-0.01, 1.05, 0.20)  rightController:(0.49, 1.19, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.17, 1.54, -0.09)
2021.4.4 22:15:46:932   leftController:(-0.01, 1.05, 0.20)  rightController:(0.49, 1.18, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.17, 1.54, -0.09)
2021.4.4 22:15:46:945   leftController:(0.00, 1.04, 0.20)  rightController:(0.49, 1.18, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.18, 1.54, -0.09)
2021.4.4 22:15:46:954   leftController:(0.01, 1.04, 0.20)  rightController:(0.48, 1.17, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.18, 1.54, -0.09)
2021.4.4 22:15:46:965   leftController:(0.01, 1.04, 0.20)  rightController:(0.48, 1.17, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.18, 1.54, -0.09)
2021.4.4 22:15:46:977   leftController:(0.02, 1.03, 0.20)  rightController:(0.47, 1.16, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.18, 1.54, -0.09)
2021.4.4 22:15:46:988   leftController:(0.02, 1.03, 0.20)  rightController:(0.47, 1.15, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.18, 1.54, -0.09)
2021.4.4 22:15:46:999   leftController:(0.03, 1.02, 0.20)  rightController:(0.46, 1.15, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.19, 1.54, -0.09)
2021.4.4 22:15:47:11   leftController:(0.04, 1.02, 0.20)  rightController:(0.46, 1.14, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.19, 1.53, -0.09)
2021.4.4 22:15:47:23   leftController:(0.04, 1.02, 0.19)  rightController:(0.45, 1.13, 0.16)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.19, 1.53, -0.09)
2021.4.4 22:15:47:33   leftController:(0.05, 1.01, 0.19)  rightController:(0.45, 1.13, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.19, 1.53, -0.09)
2021.4.4 22:15:47:44   leftController:(0.06, 1.01, 0.19)  rightController:(0.45, 1.12, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.19, 1.53, -0.09)
2021.4.4 22:15:47:55   leftController:(0.06, 1.01, 0.19)  rightController:(0.44, 1.12, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.20, 1.53, -0.09)
2021.4.4 22:15:47:66   leftController:(0.07, 1.00, 0.19)  rightController:(0.44, 1.11, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.20, 1.53, -0.09)
2021.4.4 22:15:47:78   leftController:(0.07, 1.00, 0.19)  rightController:(0.44, 1.10, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.20, 1.53, -0.09)
2021.4.4 22:15:47:89   leftController:(0.07, 0.99, 0.19)  rightController:(0.43, 1.10, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.20, 1.53, -0.09)
2021.4.4 22:15:47:101   leftController:(0.08, 0.99, 0.19)  rightController:(0.43, 1.09, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.21, 1.53, -0.09)
2021.4.4 22:15:47:111   leftController:(0.08, 0.99, 0.19)  rightController:(0.42, 1.09, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.21, 1.53, -0.09)
2021.4.4 22:15:47:123   leftController:(0.09, 0.98, 0.19)  rightController:(0.42, 1.08, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.21, 1.53, -0.09)
2021.4.4 22:15:47:135   leftController:(0.09, 0.98, 0.19)  rightController:(0.41, 1.08, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.21, 1.53, -0.09)
2021.4.4 22:15:47:145   leftController:(0.10, 0.98, 0.19)  rightController:(0.41, 1.07, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.22, 1.53, -0.09)
2021.4.4 22:15:47:156   leftController:(0.10, 0.98, 0.19)  rightController:(0.40, 1.07, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.22, 1.53, -0.09)
2021.4.4 22:15:47:167   leftController:(0.10, 0.97, 0.19)  rightController:(0.40, 1.06, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.22, 1.53, -0.09)
2021.4.4 22:15:47:179   leftController:(0.11, 0.97, 0.19)  rightController:(0.40, 1.06, 0.17)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.22, 1.53, -0.09)
