2021.4.4 15:36:58:174   leftController:(-0.03, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:188   leftController:(-0.03, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:197   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:207   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:221   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:231   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:242   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:253   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:262   leftController:(-0.04, 1.10, 0.38)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:270   leftController:(-0.04, 1.09, 0.38)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:281   leftController:(-0.04, 1.09, 0.38)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:293   leftController:(-0.04, 1.09, 0.37)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:305   leftController:(-0.04, 1.09, 0.37)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:319   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:328   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:339   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.05, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:350   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:360   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:371   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:383   leftController:(-0.05, 1.09, 0.37)  rightController:(0.22, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:393   leftController:(-0.05, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:406   leftController:(-0.06, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:420   leftController:(-0.06, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:432   leftController:(-0.06, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:442   leftController:(-0.06, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:451   leftController:(-0.06, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:461   leftController:(-0.07, 1.08, 0.37)  rightController:(0.21, 1.04, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.46, 0.12)
2021.4.4 15:36:58:472   leftController:(-0.07, 1.08, 0.37)  rightController:(0.21, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:483   leftController:(-0.07, 1.08, 0.37)  rightController:(0.20, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:497   leftController:(-0.07, 1.07, 0.37)  rightController:(0.20, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:507   leftController:(-0.07, 1.07, 0.37)  rightController:(0.20, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:519   leftController:(-0.08, 1.07, 0.37)  rightController:(0.20, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:531   leftController:(-0.08, 1.07, 0.37)  rightController:(0.20, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:539   leftController:(-0.08, 1.07, 0.37)  rightController:(0.19, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.09, 1.46, 0.12)
2021.4.4 15:36:58:550   leftController:(-0.09, 1.07, 0.37)  rightController:(0.19, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.46, 0.13)
2021.4.4 15:36:58:562   leftController:(-0.09, 1.07, 0.37)  rightController:(0.19, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.46, 0.13)
2021.4.4 15:36:58:573   leftController:(-0.09, 1.07, 0.36)  rightController:(0.19, 1.03, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.45, 0.13)
2021.4.4 15:36:58:584   leftController:(-0.10, 1.07, 0.36)  rightController:(0.19, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.45, 0.13)
2021.4.4 15:36:58:598   leftController:(-0.10, 1.07, 0.36)  rightController:(0.18, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.45, 0.13)
2021.4.4 15:36:58:615   leftController:(-0.11, 1.07, 0.36)  rightController:(0.18, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
2021.4.4 15:36:58:624   leftController:(-0.11, 1.07, 0.36)  rightController:(0.18, 1.02, 0.30)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.45, 0.13)
