2021.4.4 16:38:02:682   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:695   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:708   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:718   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.73, 0.21)
2021.4.4 16:38:02:727   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:738   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:749   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:760   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:772   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:785   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:796   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:807   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:818   leftController:(-0.13, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:829   leftController:(-0.14, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:839   leftController:(-0.14, 1.19, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:850   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
2021.4.4 16:38:02:861   leftController:(-0.14, 1.18, 0.46)  rightController:(-0.31, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.73, 0.21)
