2021.4.4 16:44:03:868   leftController:(-0.08, 1.31, 0.59)  rightController:(-0.42, 1.28, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, 0.00)
2021.4.4 16:44:03:881   leftController:(-0.08, 1.32, 0.59)  rightController:(-0.42, 1.28, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, 0.00)
2021.4.4 16:44:03:894   leftController:(-0.08, 1.32, 0.60)  rightController:(-0.42, 1.28, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:907   leftController:(-0.07, 1.32, 0.60)  rightController:(-0.43, 1.28, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:915   leftController:(-0.07, 1.32, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:924   leftController:(-0.07, 1.32, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:934   leftController:(-0.07, 1.33, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:946   leftController:(-0.07, 1.33, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.01)
2021.4.4 16:44:03:960   leftController:(-0.07, 1.33, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.69, -0.02)
2021.4.4 16:44:03:969   leftController:(-0.07, 1.33, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
2021.4.4 16:44:03:981   leftController:(-0.07, 1.33, 0.60)  rightController:(-0.43, 1.29, 0.61)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.33, 1.70, -0.02)
