2021.4.4 16:53:14:854   leftController:(0.06, 1.10, 0.19)  rightController:(-0.14, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.02)
2021.4.4 16:53:14:868   leftController:(0.06, 1.10, 0.19)  rightController:(-0.14, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.01)
2021.4.4 16:53:14:877   leftController:(0.06, 1.11, 0.19)  rightController:(-0.15, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.01)
2021.4.4 16:53:14:888   leftController:(0.07, 1.12, 0.19)  rightController:(-0.15, 1.18, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.01)
2021.4.4 16:53:14:901   leftController:(0.07, 1.12, 0.19)  rightController:(-0.15, 1.18, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.01)
2021.4.4 16:53:14:911   leftController:(0.07, 1.13, 0.19)  rightController:(-0.16, 1.17, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.01, 1.57, -0.01)
2021.4.4 16:53:14:920   leftController:(0.07, 1.13, 0.19)  rightController:(-0.16, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:930   leftController:(0.07, 1.14, 0.19)  rightController:(-0.16, 1.16, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:939   leftController:(0.07, 1.14, 0.19)  rightController:(-0.17, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:950   leftController:(0.07, 1.14, 0.19)  rightController:(-0.17, 1.15, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:963   leftController:(0.07, 1.15, 0.19)  rightController:(-0.17, 1.14, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:977   leftController:(0.07, 1.15, 0.19)  rightController:(-0.18, 1.14, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
2021.4.4 16:53:14:993   leftController:(0.07, 1.15, 0.19)  rightController:(-0.18, 1.13, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.01)
