2021.4.4 16:17:31:664   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:674   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:686   leftController:(0.02, 0.92, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:698   leftController:(0.02, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:709   leftController:(0.02, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:720   leftController:(0.02, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:732   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:742   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:753   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:763   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:777   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:790   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.38, 0.18)
2021.4.4 16:17:31:799   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.18)
2021.4.4 16:17:31:809   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.18)
2021.4.4 16:17:31:821   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.18)
2021.4.4 16:17:31:833   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.18)
2021.4.4 16:17:31:842   leftController:(0.03, 0.91, 0.38)  rightController:(-0.21, 0.92, 0.40)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.37, 0.19)
