2021.4.4 15:20:21:850   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:859   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:872   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.02, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:885   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.02, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:894   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:904   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:915   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:927   leftController:(-0.39, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:938   leftController:(-0.39, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:948   leftController:(-0.39, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:960   leftController:(-0.39, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:974   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:983   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.03, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:993   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.03, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:22:05   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:17   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:27   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:38   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:49   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:61   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:75   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:84   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:94   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:107   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.76, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:122   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:131   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:139   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:149   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:160   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:172   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.75, 0.38)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:183   leftController:(-0.38, 0.75, 0.37)  rightController:(-0.04, 0.74, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:198   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.04, 0.74, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:206   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.04, 0.74, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:216   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.04, 0.74, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:227   leftController:(-0.38, 0.75, 0.36)  rightController:(-0.04, 0.73, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:239   leftController:(-0.38, 0.74, 0.36)  rightController:(-0.04, 0.73, 0.37)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:251   leftController:(-0.38, 0.74, 0.36)  rightController:(-0.04, 0.73, 0.36)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:264   leftController:(-0.38, 0.74, 0.36)  rightController:(-0.03, 0.73, 0.36)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:273   leftController:(-0.38, 0.74, 0.36)  rightController:(-0.03, 0.73, 0.36)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:286   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.73, 0.36)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:22:305   leftController:(-0.39, 0.74, 0.36)  rightController:(-0.03, 0.73, 0.36)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
