2021.4.13 11:19:17:434   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.06, -0.04, 0.04)  rightControllerVel:(-0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:440   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.06, -0.05, 0.04)  rightControllerVel:(-0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:445   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.06, -0.05, 0.04)  rightControllerVel:(-0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:450   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.05, -0.05, 0.04)  rightControllerVel:(-0.03, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:461   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.20, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.05, -0.06, 0.04)  rightControllerVel:(-0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:472   leftController:(0.04, 1.19, -0.01)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.03, -0.08, 0.05)  rightControllerVel:(-0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:484   leftController:(0.04, 1.18, -0.01)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.02, -0.09, 0.05)  rightControllerVel:(-0.02, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:500   leftController:(0.04, 1.18, -0.01)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(0.00, -0.11, 0.06)  rightControllerVel:(-0.03, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:507   leftController:(0.04, 1.18, -0.01)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.12, 0.06)  rightControllerVel:(-0.04, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:519   leftController:(0.04, 1.18, -0.01)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.02, -0.13, 0.07)  rightControllerVel:(-0.05, -0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:528   leftController:(0.04, 1.18, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.05, -0.15, 0.07)  rightControllerVel:(-0.05, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:539   leftController:(0.04, 1.18, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.07, -0.17, 0.07)  rightControllerVel:(-0.06, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:550   leftController:(0.03, 1.17, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.10, -0.19, 0.08)  rightControllerVel:(-0.07, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:561   leftController:(0.03, 1.17, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.12, -0.20, 0.09)  rightControllerVel:(-0.07, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:573   leftController:(0.03, 1.17, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.14, -0.20, 0.08)  rightControllerVel:(-0.08, -0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:600   leftController:(0.03, 1.17, 0.00)  rightController:(0.30, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.13, -0.16, 0.05)  rightControllerVel:(-0.11, -0.08, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:607   leftController:(0.03, 1.16, 0.00)  rightController:(0.29, 1.19, 0.01)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.10, -0.15, 0.05)  rightControllerVel:(-0.13, -0.10, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:613   leftController:(0.03, 1.16, 0.00)  rightController:(0.29, 1.19, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.07, -0.14, 0.06)  rightControllerVel:(-0.16, -0.11, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:617   leftController:(0.03, 1.16, 0.00)  rightController:(0.29, 1.19, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.06, -0.13, 0.06)  rightControllerVel:(-0.17, -0.12, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:629   leftController:(0.03, 1.16, 0.00)  rightController:(0.29, 1.19, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.14, 1.70, -0.28)  leftControllerVel:(-0.04, -0.11, 0.05)  rightControllerVel:(-0.19, -0.14, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
