2021.4.13 11:16:21:710   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.10, -0.04, 0.07)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:714   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.10, -0.04, 0.07)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:720   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.10, -0.04, 0.07)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:726   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.10, -0.05, 0.07)  rightControllerVel:(0.03, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:738   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.11, -0.05, 0.08)  rightControllerVel:(0.04, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:749   leftController:(-0.01, 1.19, 0.26)  rightController:(0.31, 1.20, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.11, -0.05, 0.08)  rightControllerVel:(0.04, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:760   leftController:(-0.01, 1.19, 0.27)  rightController:(0.31, 1.19, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.11, -0.06, 0.08)  rightControllerVel:(0.04, -0.10, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:772   leftController:(-0.01, 1.19, 0.27)  rightController:(0.31, 1.19, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.12, -0.06, 0.09)  rightControllerVel:(0.05, -0.11, 0.04)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:786   leftController:(0.00, 1.18, 0.27)  rightController:(0.31, 1.19, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.13, -0.07, 0.09)  rightControllerVel:(0.05, -0.11, 0.04)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
2021.4.13 11:16:21:794   leftController:(0.00, 1.18, 0.27)  rightController:(0.31, 1.19, 0.32)  leftTracker:(0.32, 0.19, 0.04)  rightTracker:(0.13, 0.19, -0.06)  headset:(0.15, 1.69, 0.01)  leftControllerVel:(0.13, -0.08, 0.09)  rightControllerVel:(0.05, -0.12, 0.04)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.01, -0.01, 0.01)
