2021.4.17 16:31:06:876   leftController:(0.09, 1.07, 0.01)  rightController:(-0.07, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.02, 0.00)  rightControllerVel:(0.04, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:887   leftController:(0.09, 1.07, 0.01)  rightController:(-0.07, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.02, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:898   leftController:(0.09, 1.07, 0.01)  rightController:(-0.07, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:909   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:922   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:932   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.04, -0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:943   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.05, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:955   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.05, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:965   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.05, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:977   leftController:(0.09, 1.07, 0.01)  rightController:(-0.06, 1.10, 0.00)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.20)  leftControllerVel:(0.05, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
