2021.4.17 16:03:36:708   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.00, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:718   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:729   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:741   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:752   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.17 16:03:36:764   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.17 16:03:36:775   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:785   leftController:(0.38, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.02, -0.02)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:797   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.02, -0.01)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:808   leftController:(0.39, 1.15, 0.13)  rightController:(0.17, 1.20, 0.14)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(0.05, -0.02, -0.01)  rightControllerVel:(0.00, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
