2021.4.9 17:02:36:110   leftController:(0.24, 1.04, 0.31)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.16, -0.02, -0.03)  rightControllerVel:(0.08, 0.03, 0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:119   leftController:(0.24, 1.04, 0.31)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.02, 1.74, 0.08)  leftControllerVel:(0.16, -0.02, -0.03)  rightControllerVel:(0.08, 0.03, 0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:129   leftController:(0.24, 1.04, 0.31)  rightController:(-0.15, 1.07, 0.28)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.16, -0.01, -0.03)  rightControllerVel:(0.09, 0.03, 0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:141   leftController:(0.24, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.16, -0.01, -0.04)  rightControllerVel:(0.09, 0.03, 0.03)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:151   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.16, -0.01, -0.03)  rightControllerVel:(0.10, 0.03, 0.03)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:161   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.16, -0.01, -0.04)  rightControllerVel:(0.10, 0.03, 0.03)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:173   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.15, -0.01, -0.04)  rightControllerVel:(0.11, 0.03, 0.04)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:185   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.14, -0.01, -0.04)  rightControllerVel:(0.11, 0.03, 0.04)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:195   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.13, -0.01, -0.04)  rightControllerVel:(0.11, 0.04, 0.05)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 17:02:36:206   leftController:(0.25, 1.04, 0.31)  rightController:(-0.14, 1.07, 0.29)  leftTracker:(0.26, 0.22, 0.04)  rightTracker:(0.02, 0.22, 0.01)  headset:(0.03, 1.74, 0.08)  leftControllerVel:(0.13, 0.00, -0.04)  rightControllerVel:(0.11, 0.04, 0.05)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
