2021.4.9 16:36:30:194   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:207   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:216   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:228   leftController:(0.07, 1.14, -0.06)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:241   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:249   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:260   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:271   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:282   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:36:30:295   leftController:(0.07, 1.14, -0.05)  rightController:(-0.22, 1.17, -0.06)  leftTracker:(0.04, 0.20, -0.38)  rightTracker:(-0.15, 0.19, -0.34)  headset:(-0.05, 1.63, -0.35)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
