2021.4.9 16:33:38:637   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, -0.03, 0.00)  rightControllerVel:(0.07, -0.16, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:648   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(0.06, -0.15, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:659   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.04, -0.13, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:670   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.03, -0.12, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:681   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.01, 0.00)  rightControllerVel:(0.03, -0.11, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:692   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.01, -0.01)  rightControllerVel:(0.02, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:703   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.20, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.02, -0.01)  rightControllerVel:(0.03, -0.08, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:715   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.02, -0.01)  rightControllerVel:(0.03, -0.07, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:734   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.03, -0.01)  rightControllerVel:(0.03, -0.05, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:742   leftController:(0.11, 1.07, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.03, -0.01)  rightControllerVel:(0.02, -0.05, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:752   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.02, -0.01)  rightControllerVel:(0.02, -0.04, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:764   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.02, -0.01)  rightControllerVel:(0.02, -0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:772   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.01, -0.01)  rightControllerVel:(0.01, -0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:782   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.03, 0.01, -0.01)  rightControllerVel:(0.01, -0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:793   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(0.01, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:804   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(0.00, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.9 16:33:38:815   leftController:(0.11, 1.08, 0.28)  rightController:(-0.01, 1.19, 0.31)  leftTracker:(0.11, 0.21, 0.05)  rightTracker:(-0.09, 0.20, 0.09)  headset:(0.04, 1.64, 0.07)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.00, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
