2021.4.15 19:47:56:502   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:513   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:525   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:536   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:548   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:560   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:569   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:580   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:591   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:603   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:614   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:625   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:636   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:647   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:658   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.04, 0.01)  rightControllerVel:(-0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:669   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.05, 0.02)  rightControllerVel:(-0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:681   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.06, 0.02)  rightControllerVel:(-0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:47:56:692   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.07, 0.02)  rightControllerVel:(-0.04, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:56:703   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.08, 0.02)  rightControllerVel:(-0.04, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:714   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.09, 0.02)  rightControllerVel:(-0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:725   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.10, 0.02)  rightControllerVel:(-0.03, -0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:737   leftController:(0.31, 1.24, 0.35)  rightController:(0.18, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.21, 1.63, 0.13)  leftControllerVel:(-0.01, -0.10, 0.02)  rightControllerVel:(-0.03, -0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:747   leftController:(0.31, 1.24, 0.35)  rightController:(0.17, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.21, 1.63, 0.13)  leftControllerVel:(-0.01, -0.11, 0.02)  rightControllerVel:(-0.03, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:759   leftController:(0.31, 1.23, 0.35)  rightController:(0.17, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.21, 1.63, 0.13)  leftControllerVel:(-0.01, -0.11, 0.02)  rightControllerVel:(-0.03, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
