2021.4.15 19:50:54:01   leftController:(0.33, 1.36, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.10, 0.00)  rightControllerVel:(0.02, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:54:13   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.10, 0.00)  rightControllerVel:(0.02, 0.05, 0.01)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:54:24   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.10, 0.00)  rightControllerVel:(0.02, 0.05, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.15 19:50:54:35   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.10, 0.00)  rightControllerVel:(0.02, 0.06, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:46   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.02, -0.10, 0.00)  rightControllerVel:(0.01, 0.06, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:57   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.02, -0.10, 0.00)  rightControllerVel:(0.01, 0.07, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:68   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.02, -0.11, 0.00)  rightControllerVel:(0.00, 0.07, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:80   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.11, 0.00)  rightControllerVel:(0.00, 0.08, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:91   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.03, -0.12, 0.00)  rightControllerVel:(-0.01, 0.08, 0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:102   leftController:(0.33, 1.35, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.13, 0.01)  rightControllerVel:(-0.01, 0.09, 0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:115   leftController:(0.33, 1.34, 0.37)  rightController:(0.11, 1.19, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.14, 0.01)  rightControllerVel:(-0.01, 0.09, 0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:124   leftController:(0.33, 1.34, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.63, 0.08)  leftControllerVel:(0.04, -0.15, 0.01)  rightControllerVel:(-0.02, 0.10, 0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:135   leftController:(0.33, 1.34, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.05, -0.18, 0.02)  rightControllerVel:(-0.02, 0.11, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:146   leftController:(0.33, 1.34, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.06, -0.21, 0.02)  rightControllerVel:(-0.02, 0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:158   leftController:(0.34, 1.33, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.07, -0.24, 0.03)  rightControllerVel:(-0.02, 0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:169   leftController:(0.34, 1.33, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.08, -0.27, 0.04)  rightControllerVel:(-0.03, 0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.15 19:50:54:180   leftController:(0.34, 1.33, 0.37)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.09, -0.30, 0.05)  rightControllerVel:(-0.04, 0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:191   leftController:(0.34, 1.32, 0.38)  rightController:(0.11, 1.20, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.11, -0.34, 0.05)  rightControllerVel:(-0.05, 0.13, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:202   leftController:(0.34, 1.32, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.12, -0.37, 0.05)  rightControllerVel:(-0.05, 0.12, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:213   leftController:(0.34, 1.32, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.14, -0.41, 0.05)  rightControllerVel:(-0.05, 0.12, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:224   leftController:(0.34, 1.31, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.15, -0.42, 0.05)  rightControllerVel:(-0.05, 0.12, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:235   leftController:(0.34, 1.31, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.16, -0.45, 0.05)  rightControllerVel:(-0.05, 0.12, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:247   leftController:(0.35, 1.30, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.16, -0.46, 0.05)  rightControllerVel:(-0.06, 0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:258   leftController:(0.35, 1.30, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.17, -0.48, 0.03)  rightControllerVel:(-0.07, 0.11, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:54:270   leftController:(0.35, 1.29, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.17, -0.48, 0.03)  rightControllerVel:(-0.08, 0.09, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:280   leftController:(0.35, 1.28, 0.38)  rightController:(0.11, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.16, -0.48, 0.02)  rightControllerVel:(-0.10, 0.09, 0.00)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:292   leftController:(0.35, 1.28, 0.38)  rightController:(0.10, 1.21, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.15, -0.47, 0.01)  rightControllerVel:(-0.11, 0.07, 0.00)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:50:54:304   leftController:(0.35, 1.27, 0.38)  rightController:(0.10, 1.22, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.23, 1.64, 0.08)  leftControllerVel:(0.13, -0.45, -0.01)  rightControllerVel:(-0.12, 0.06, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
