2021.4.15 19:48:24:906   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.03, -0.04, 0.00)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:917   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.03, -0.04, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:929   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.03, -0.03, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:940   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.03, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:951   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.03, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:963   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.00)  rightControllerVel:(-0.04, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:973   leftController:(0.33, 1.24, 0.36)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.00)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:985   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.01)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:996   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.01)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:25:08   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.01)  rightControllerVel:(-0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.15 19:48:25:18   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.02, 0.01)  rightControllerVel:(-0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:25:29   leftController:(0.33, 1.24, 0.36)  rightController:(0.15, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.04, -0.03, 0.01)  rightControllerVel:(-0.04, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
