2021.4.11 19:05:40:460   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.03, -0.03, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:469   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.04, -0.03, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:480   leftController:(0.26, 1.28, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.05, -0.04, 0.03)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:492   leftController:(0.26, 1.28, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.05, -0.05, 0.03)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:503   leftController:(0.26, 1.28, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.07, -0.06, 0.03)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:517   leftController:(0.26, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.08, -0.07, 0.04)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:527   leftController:(0.27, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.10, -0.08, 0.05)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:542   leftController:(0.27, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.13, -0.09, 0.06)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:550   leftController:(0.27, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.23)  leftControllerVel:(0.14, -0.10, 0.07)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:558   leftController:(0.27, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.16, -0.10, 0.07)  rightControllerVel:(0.02, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:570   leftController:(0.27, 1.27, -0.01)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.18, -0.11, 0.08)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:581   leftController:(0.28, 1.27, -0.01)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.21, -0.12, 0.09)  rightControllerVel:(0.02, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:592   leftController:(0.28, 1.27, -0.01)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.23, -0.12, 0.09)  rightControllerVel:(0.02, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:604   leftController:(0.28, 1.27, -0.01)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.25, -0.13, 0.09)  rightControllerVel:(0.02, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:615   leftController:(0.28, 1.26, -0.01)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.25, -0.13, 0.09)  rightControllerVel:(0.01, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:626   leftController:(0.29, 1.26, 0.00)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.25, -0.12, 0.08)  rightControllerVel:(0.01, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:637   leftController:(0.29, 1.26, 0.00)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.24, -0.11, 0.08)  rightControllerVel:(0.01, 0.01, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:40:648   leftController:(0.29, 1.26, 0.00)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.23, -0.10, 0.07)  rightControllerVel:(0.02, 0.02, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
