2021.4.11 19:02:53:459   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:471   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:481   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:493   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:507   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:515   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:526   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:537   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:548   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:561   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:571   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:582   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:594   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:605   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:615   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:627   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.02, 0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
