2021.4.11 16:07:05:757   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.02)  rightControllerVel:(0.04, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.11 16:07:05:768   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.03)  rightControllerVel:(0.04, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:779   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.04)  rightControllerVel:(0.04, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:790   leftController:(0.08, 1.33, -0.41)  rightController:(0.31, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.07, 0.02, -0.04)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:802   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.06, 0.03, -0.04)  rightControllerVel:(0.03, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.11 16:07:05:813   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.17, 1.40, -0.45)  leftControllerVel:(0.06, 0.03, -0.04)  rightControllerVel:(0.02, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.11 16:07:05:825   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.06, 0.03, -0.04)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:837   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.06, 0.02, -0.04)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:846   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.06, 0.02, -0.04)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:858   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.05, 0.03, -0.04)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:869   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.04, -0.02, -0.02)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:880   leftController:(0.08, 1.33, -0.41)  rightController:(0.32, 1.11, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.03, 0.00, -0.03)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:892   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.04, 0.00, -0.02)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:906   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.02, -0.01, -0.02)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:915   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.02, 0.00, -0.02)  rightControllerVel:(0.01, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:925   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.02, -0.03, 0.00)  rightControllerVel:(0.01, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:936   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.01, -0.05, 0.01)  rightControllerVel:(0.01, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:947   leftController:(0.09, 1.33, -0.41)  rightController:(0.32, 1.10, -0.20)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.18, 1.40, -0.45)  leftControllerVel:(0.00, -0.05, 0.01)  rightControllerVel:(0.02, -0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
