2021.4.11 19:30:04:615   leftController:(0.40, 1.14, 0.21)  rightController:(0.20, 1.11, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.08, 0.12, 0.18)  rightControllerVel:(-0.19, 0.48, 0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.11 19:30:04:631   leftController:(0.41, 1.15, 0.22)  rightController:(0.20, 1.11, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.09, 0.14, 0.17)  rightControllerVel:(-0.19, 0.51, 0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:640   leftController:(0.41, 1.15, 0.22)  rightController:(0.20, 1.12, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.08, 0.14, 0.16)  rightControllerVel:(-0.19, 0.52, 0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:649   leftController:(0.41, 1.15, 0.22)  rightController:(0.20, 1.12, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.07, 0.14, 0.15)  rightControllerVel:(-0.21, 0.55, 0.06)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:660   leftController:(0.41, 1.15, 0.22)  rightController:(0.20, 1.13, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.07, 0.14, 0.14)  rightControllerVel:(-0.19, 0.56, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:673   leftController:(0.41, 1.15, 0.22)  rightController:(0.19, 1.14, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.06, 0.15, 0.13)  rightControllerVel:(-0.16, 0.56, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:683   leftController:(0.41, 1.15, 0.22)  rightController:(0.19, 1.14, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.07, 0.16, 0.12)  rightControllerVel:(-0.15, 0.55, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:694   leftController:(0.41, 1.16, 0.22)  rightController:(0.19, 1.15, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.59, -0.06)  leftControllerVel:(0.07, 0.16, 0.12)  rightControllerVel:(-0.12, 0.52, 0.00)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:705   leftController:(0.41, 1.16, 0.23)  rightController:(0.19, 1.15, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.05, 0.18, 0.11)  rightControllerVel:(-0.09, 0.49, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:715   leftController:(0.41, 1.16, 0.23)  rightController:(0.19, 1.16, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.04, 0.18, 0.11)  rightControllerVel:(-0.07, 0.44, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:727   leftController:(0.41, 1.16, 0.23)  rightController:(0.19, 1.16, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.03, 0.19, 0.10)  rightControllerVel:(-0.05, 0.38, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:739   leftController:(0.41, 1.16, 0.23)  rightController:(0.19, 1.16, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.03, 0.18, 0.10)  rightControllerVel:(-0.04, 0.31, -0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:752   leftController:(0.41, 1.17, 0.23)  rightController:(0.19, 1.17, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.02, 0.17, 0.09)  rightControllerVel:(-0.03, 0.23, 0.00)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:760   leftController:(0.41, 1.17, 0.23)  rightController:(0.19, 1.17, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.37, 1.60, -0.06)  leftControllerVel:(0.01, 0.16, 0.09)  rightControllerVel:(-0.03, 0.19, 0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.11 19:30:04:772   leftController:(0.41, 1.17, 0.23)  rightController:(0.19, 1.17, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.38, 0.19, -0.14)  headset:(0.36, 1.60, -0.06)  leftControllerVel:(-0.01, 0.14, 0.09)  rightControllerVel:(-0.03, 0.13, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
