2021.4.11 20:02:23:399   leftController:(0.36, 1.15, 0.20)  rightController:(0.07, 1.25, 0.22)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.32, -0.68, 0.35)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:414   leftController:(0.36, 1.15, 0.20)  rightController:(0.07, 1.24, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.30, -0.68, 0.30)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:423   leftController:(0.36, 1.15, 0.20)  rightController:(0.07, 1.23, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.29, -0.66, 0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:433   leftController:(0.36, 1.15, 0.20)  rightController:(0.06, 1.22, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.27, -0.60, 0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:446   leftController:(0.36, 1.15, 0.20)  rightController:(0.06, 1.22, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.25, -0.53, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:455   leftController:(0.36, 1.15, 0.20)  rightController:(0.06, 1.21, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.24, -0.48, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:466   leftController:(0.36, 1.15, 0.20)  rightController:(0.06, 1.21, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.21, -0.41, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:478   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.21, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.20, -0.36, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:489   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.19, -0.29, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:501   leftController:(0.36, 1.15, 0.20)  rightController:(0.05, 1.20, 0.23)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.71, -0.06)  leftControllerVel:(-0.01, -0.03, 0.00)  rightControllerVel:(-0.15, -0.22, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
