2021.4.11 19:27:34:868   leftController:(0.46, 1.26, 0.20)  rightController:(0.11, 1.32, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.17, 0.39, -0.12)  rightControllerVel:(-0.38, 0.39, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:880   leftController:(0.46, 1.26, 0.20)  rightController:(0.10, 1.32, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.14, 0.35, -0.12)  rightControllerVel:(-0.35, 0.34, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:893   leftController:(0.46, 1.26, 0.20)  rightController:(0.10, 1.32, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.11, 0.29, -0.10)  rightControllerVel:(-0.31, 0.28, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:904   leftController:(0.46, 1.26, 0.20)  rightController:(0.10, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.11, 0.24, -0.08)  rightControllerVel:(-0.28, 0.23, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:913   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.08, 0.20, -0.07)  rightControllerVel:(-0.25, 0.17, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:922   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.06, 0.16, -0.05)  rightControllerVel:(-0.23, 0.12, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:930   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.04, 0.12, -0.04)  rightControllerVel:(-0.20, 0.07, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:941   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(0.02, 0.07, -0.02)  rightControllerVel:(-0.17, 0.01, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:953   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.33, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(-0.03, -0.01, 0.01)  rightControllerVel:(-0.11, -0.09, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:963   leftController:(0.46, 1.27, 0.20)  rightController:(0.09, 1.32, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.15)  headset:(0.28, 1.61, -0.04)  leftControllerVel:(-0.06, -0.06, 0.03)  rightControllerVel:(-0.08, -0.14, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
