2021.4.11 19:06:30:790   leftController:(0.28, 1.27, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:805   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:815   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:826   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:834   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:845   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:856   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:868   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:879   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:890   leftController:(0.28, 1.26, 0.05)  rightController:(0.07, 1.18, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
