2021.4.11 10:23:46:575   leftController:(-0.05, 1.24, 0.06)  rightController:(0.17, 1.14, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.12, 0.38, -0.21)  rightControllerVel:(-0.13, 0.19, -0.04)  leftTrackerVel:(0.07, 0.00, -0.11)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:587   leftController:(-0.05, 1.24, 0.06)  rightController:(0.17, 1.14, 0.00)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.12, 0.38, -0.21)  rightControllerVel:(-0.14, 0.20, -0.04)  leftTrackerVel:(0.07, 0.00, -0.11)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:598   leftController:(-0.05, 1.24, 0.06)  rightController:(0.16, 1.14, 0.00)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.11, 0.37, -0.22)  rightControllerVel:(-0.15, 0.19, -0.04)  leftTrackerVel:(0.07, 0.00, -0.11)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:609   leftController:(-0.06, 1.25, 0.05)  rightController:(0.16, 1.15, 0.00)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.10, 0.34, -0.21)  rightControllerVel:(-0.16, 0.18, -0.03)  leftTrackerVel:(0.08, 0.00, -0.11)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:623   leftController:(-0.06, 1.25, 0.05)  rightController:(0.16, 1.15, 0.00)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.10, 0.30, -0.21)  rightControllerVel:(-0.17, 0.15, -0.02)  leftTrackerVel:(0.08, 0.00, -0.10)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:632   leftController:(-0.06, 1.25, 0.05)  rightController:(0.16, 1.15, 0.00)  leftTracker:(-0.23, 0.20, -0.27)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.10, 0.25, -0.18)  rightControllerVel:(-0.17, 0.13, -0.01)  leftTrackerVel:(0.08, 0.00, -0.10)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:642   leftController:(-0.06, 1.26, 0.05)  rightController:(0.16, 1.15, 0.00)  leftTracker:(-0.23, 0.20, -0.27)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.11, 0.21, -0.16)  rightControllerVel:(-0.17, 0.09, 0.01)  leftTrackerVel:(0.08, 0.00, -0.09)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:655   leftController:(-0.06, 1.26, 0.04)  rightController:(0.16, 1.15, 0.00)  leftTracker:(-0.22, 0.20, -0.27)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.06, 1.71, -0.16)  leftControllerVel:(-0.14, 0.16, -0.12)  rightControllerVel:(-0.17, 0.05, 0.02)  leftTrackerVel:(0.07, 0.00, -0.08)  rightTrackerVel:(-0.01, 0.01, 0.00)
2021.4.11 10:23:46:665   leftController:(-0.06, 1.26, 0.04)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.27)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.71, -0.16)  leftControllerVel:(-0.16, 0.10, -0.08)  rightControllerVel:(-0.16, 0.01, 0.04)  leftTrackerVel:(0.07, 0.00, -0.07)  rightTrackerVel:(-0.01, 0.01, 0.00)
2021.4.11 10:23:46:676   leftController:(-0.06, 1.26, 0.04)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.27)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.70, -0.16)  leftControllerVel:(-0.17, 0.03, -0.04)  rightControllerVel:(-0.16, -0.02, 0.05)  leftTrackerVel:(0.06, -0.01, -0.05)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:687   leftController:(-0.07, 1.26, 0.04)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.70, -0.16)  leftControllerVel:(-0.19, -0.02, -0.02)  rightControllerVel:(-0.16, -0.05, 0.05)  leftTrackerVel:(0.04, -0.01, -0.03)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:698   leftController:(-0.07, 1.26, 0.04)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.70, -0.16)  leftControllerVel:(-0.20, -0.09, 0.02)  rightControllerVel:(-0.16, -0.07, 0.06)  leftTrackerVel:(0.03, -0.02, -0.02)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 10:23:46:710   leftController:(-0.07, 1.25, 0.05)  rightController:(0.15, 1.15, 0.01)  leftTracker:(-0.22, 0.20, -0.28)  rightTracker:(0.05, 0.20, -0.28)  headset:(0.05, 1.70, -0.16)  leftControllerVel:(-0.21, -0.17, 0.06)  rightControllerVel:(-0.16, -0.09, 0.06)  leftTrackerVel:(0.01, -0.03, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
