2021.4.11 20:07:30:423   leftController:(0.33, 1.24, -0.07)  rightController:(-0.02, 1.22, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.09, -0.24, 0.18)  rightControllerVel:(0.00, -0.21, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:439   leftController:(0.33, 1.23, -0.07)  rightController:(-0.02, 1.22, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.70, -0.26)  leftControllerVel:(-0.12, -0.29, 0.21)  rightControllerVel:(0.03, -0.23, 0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:450   leftController:(0.32, 1.23, -0.07)  rightController:(-0.02, 1.22, -0.06)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.17, -0.34, 0.23)  rightControllerVel:(0.04, -0.25, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:464   leftController:(0.32, 1.22, -0.07)  rightController:(-0.02, 1.21, -0.05)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.21, -0.42, 0.27)  rightControllerVel:(0.07, -0.29, 0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:473   leftController:(0.32, 1.22, -0.06)  rightController:(-0.02, 1.21, -0.05)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.23, -0.49, 0.32)  rightControllerVel:(0.09, -0.36, 0.22)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:30:485   leftController:(0.32, 1.21, -0.06)  rightController:(-0.01, 1.20, -0.05)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.24, -0.56, 0.35)  rightControllerVel:(0.11, -0.45, 0.27)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:495   leftController:(0.31, 1.21, -0.06)  rightController:(-0.01, 1.20, -0.04)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.22, -0.61, 0.35)  rightControllerVel:(0.13, -0.55, 0.31)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:503   leftController:(0.31, 1.20, -0.05)  rightController:(-0.01, 1.19, -0.04)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.19, -0.64, 0.36)  rightControllerVel:(0.13, -0.58, 0.32)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:513   leftController:(0.31, 1.19, -0.05)  rightController:(-0.01, 1.19, -0.04)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.13, -0.69, 0.36)  rightControllerVel:(0.12, -0.69, 0.34)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:524   leftController:(0.31, 1.19, -0.04)  rightController:(-0.01, 1.18, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.05, -0.72, 0.32)  rightControllerVel:(0.09, -0.78, 0.33)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 20:07:30:535   leftController:(0.31, 1.18, -0.04)  rightController:(-0.01, 1.17, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(-0.01, -0.73, 0.29)  rightControllerVel:(0.08, -0.84, 0.31)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:550   leftController:(0.31, 1.17, -0.04)  rightController:(-0.01, 1.15, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(0.08, -0.76, 0.25)  rightControllerVel:(0.04, -0.95, 0.27)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:560   leftController:(0.31, 1.16, -0.04)  rightController:(-0.01, 1.14, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(0.13, -0.76, 0.23)  rightControllerVel:(-0.01, -1.01, 0.22)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:569   leftController:(0.32, 1.15, -0.03)  rightController:(-0.01, 1.13, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.26)  leftControllerVel:(0.17, -0.79, 0.21)  rightControllerVel:(-0.03, -1.04, 0.17)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.02)
2021.4.11 20:07:30:581   leftController:(0.32, 1.14, -0.03)  rightController:(-0.01, 1.12, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.19, -0.81, 0.19)  rightControllerVel:(-0.05, -1.07, 0.11)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.01, 0.01, -0.02)
2021.4.11 20:07:30:597   leftController:(0.32, 1.13, -0.03)  rightController:(-0.01, 1.10, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.22, -0.81, 0.18)  rightControllerVel:(-0.09, -1.05, 0.05)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:609   leftController:(0.32, 1.12, -0.03)  rightController:(-0.01, 1.09, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.26, -0.74, 0.15)  rightControllerVel:(-0.13, -0.95, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:619   leftController:(0.33, 1.11, -0.03)  rightController:(-0.01, 1.09, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.28, -0.66, 0.12)  rightControllerVel:(-0.16, -0.85, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:627   leftController:(0.33, 1.11, -0.02)  rightController:(-0.02, 1.08, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.31, -0.57, 0.09)  rightControllerVel:(-0.19, -0.75, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:638   leftController:(0.33, 1.11, -0.02)  rightController:(-0.02, 1.07, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.34, -0.42, 0.06)  rightControllerVel:(-0.21, -0.62, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:652   leftController:(0.34, 1.10, -0.02)  rightController:(-0.02, 1.07, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.35, -0.28, 0.03)  rightControllerVel:(-0.23, -0.47, -0.04)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:663   leftController:(0.34, 1.10, -0.02)  rightController:(-0.02, 1.06, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.37, -0.15, 0.02)  rightControllerVel:(-0.22, -0.36, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:675   leftController:(0.35, 1.10, -0.02)  rightController:(-0.03, 1.06, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.36, -0.04, -0.01)  rightControllerVel:(-0.21, -0.23, 0.00)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.02)
2021.4.11 20:07:30:684   leftController:(0.35, 1.10, -0.02)  rightController:(-0.03, 1.06, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.36, 0.02, -0.03)  rightControllerVel:(-0.22, -0.16, 0.00)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.11 20:07:30:692   leftController:(0.35, 1.10, -0.02)  rightController:(-0.03, 1.06, -0.02)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.37, 0.16, -0.38)  headset:(0.16, 1.69, -0.25)  leftControllerVel:(0.35, 0.07, -0.04)  rightControllerVel:(-0.22, -0.11, 0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
