2021.4.10 11:22:29:177   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.19, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(0.01, -0.19, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:189   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.19, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(0.01, -0.19, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:200   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.19, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(0.02, -0.19, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:216   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.02, -0.18, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:227   leftController:(0.26, 0.72, -0.54)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.02, -0.18, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:239   leftController:(0.26, 0.73, -0.54)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.01, -0.17, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:250   leftController:(0.26, 0.73, -0.54)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(0.01, -0.16, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:259   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.70, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(0.00, -0.16, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:267   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.18, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(0.00, -0.15, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:278   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(0.00, -0.13, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:291   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.01, -0.11, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:300   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.01, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:311   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.02, -0.09, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 11:22:29:324   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.02, -0.06, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:29:335   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.03, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:344   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.03, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 11:22:29:356   leftController:(0.26, 0.73, -0.53)  rightController:(0.57, 1.17, -0.34)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.52)  leftControllerVel:(-0.02, 0.01, 0.02)  rightControllerVel:(-0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
