2021.4.10 10:06:23:824   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.01, -0.06, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:834   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(0.00, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:845   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(0.00, -0.08, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:856   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.01, 0.02, 0.01)  rightControllerVel:(0.01, -0.09, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:868   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.01, 0.02, 0.01)  rightControllerVel:(0.02, -0.11, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:878   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.02, 0.02, 0.01)  rightControllerVel:(0.03, -0.12, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:890   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.02, 0.02, 0.01)  rightControllerVel:(0.04, -0.14, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:903   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.27, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.03, 0.02, 0.01)  rightControllerVel:(0.04, -0.16, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:912   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.26, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.04, 0.02, 0.01)  rightControllerVel:(0.04, -0.17, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:923   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.26, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.04, 0.02, 0.01)  rightControllerVel:(0.04, -0.19, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
