2021.4.10 11:24:58:123   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.02, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:132   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.01, -0.03, -0.02)  rightControllerVel:(0.03, -0.06, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:141   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.03, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:152   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.02, -0.04, -0.02)  rightControllerVel:(0.04, -0.09, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:162   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.02, -0.06, -0.02)  rightControllerVel:(0.04, -0.10, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:172   leftController:(0.24, 1.14, -0.45)  rightController:(0.38, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.02, -0.06, -0.02)  rightControllerVel:(0.05, -0.10, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:184   leftController:(0.25, 1.14, -0.45)  rightController:(0.39, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.03, -0.08, -0.03)  rightControllerVel:(0.05, -0.11, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 11:24:58:194   leftController:(0.25, 1.14, -0.45)  rightController:(0.39, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.03, -0.09, -0.03)  rightControllerVel:(0.05, -0.11, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.10 11:24:58:205   leftController:(0.25, 1.14, -0.45)  rightController:(0.39, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.02, -0.10, -0.03)  rightControllerVel:(0.05, -0.12, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.4.10 11:24:58:216   leftController:(0.25, 1.14, -0.45)  rightController:(0.39, 1.15, -0.47)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.25, 1.69, -0.70)  leftControllerVel:(0.03, -0.12, -0.03)  rightControllerVel:(0.05, -0.12, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
