2021.4.10 19:39:52:418   leftController:(-0.02, 0.78, -0.40)  rightController:(0.44, 0.79, -0.41)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(-0.03, 0.02, 0.04)  rightControllerVel:(0.05, -0.09, -0.19)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:433   leftController:(-0.02, 0.78, -0.40)  rightController:(0.44, 0.78, -0.41)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(-0.01, 0.01, 0.02)  rightControllerVel:(0.02, -0.09, -0.18)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.4.10 19:39:52:446   leftController:(-0.02, 0.78, -0.40)  rightController:(0.44, 0.78, -0.42)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.00, -0.09, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:455   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.42)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(0.02, -0.03, -0.01)  rightControllerVel:(-0.01, -0.09, -0.17)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:465   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.42)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.45)  leftControllerVel:(0.03, -0.03, -0.02)  rightControllerVel:(-0.02, -0.08, -0.16)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:478   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.42)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.06, -0.04, -0.03)  rightControllerVel:(-0.04, -0.08, -0.15)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:488   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.42)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.07, -0.04, -0.03)  rightControllerVel:(-0.05, -0.08, -0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:497   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.08, -0.04, -0.03)  rightControllerVel:(-0.05, -0.07, -0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:506   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.10, -0.04, -0.03)  rightControllerVel:(-0.06, -0.07, -0.13)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:518   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.11, -0.03, -0.02)  rightControllerVel:(-0.07, -0.06, -0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:531   leftController:(-0.02, 0.78, -0.41)  rightController:(0.44, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.12, -0.02, -0.01)  rightControllerVel:(-0.08, -0.04, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:542   leftController:(-0.02, 0.78, -0.41)  rightController:(0.43, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.12, -0.01, 0.00)  rightControllerVel:(-0.09, -0.04, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:557   leftController:(-0.01, 0.78, -0.41)  rightController:(0.43, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.12, 0.00, 0.02)  rightControllerVel:(-0.10, -0.03, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:52:568   leftController:(-0.01, 0.78, -0.41)  rightController:(0.43, 0.78, -0.43)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.21, 1.72, -0.44)  leftControllerVel:(0.12, 0.01, 0.03)  rightControllerVel:(-0.11, -0.03, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
