2021.4.10 10:08:53:185   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.02, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:197   leftController:(-0.14, 1.00, -0.31)  rightController:(0.16, 1.23, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.02, 0.00)  rightControllerVel:(0.02, -0.11, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:208   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.23, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.03, 0.01)  rightControllerVel:(0.02, -0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:218   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.22, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.03, 0.01)  rightControllerVel:(0.02, -0.13, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:230   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.22, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.46)  leftControllerVel:(-0.01, 0.03, 0.01)  rightControllerVel:(0.02, -0.14, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:243   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.22, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.01, 0.04, 0.01)  rightControllerVel:(0.03, -0.16, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:252   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.22, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.01, 0.04, 0.02)  rightControllerVel:(0.02, -0.17, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:263   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.22, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.01, 0.04, 0.03)  rightControllerVel:(0.02, -0.20, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:274   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.21, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.01, 0.04, 0.03)  rightControllerVel:(0.00, -0.22, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:286   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.21, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.01, 0.05, 0.03)  rightControllerVel:(0.00, -0.23, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:303   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.21, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.02, 0.06, 0.04)  rightControllerVel:(-0.01, -0.26, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:312   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.20, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.02, 0.07, 0.05)  rightControllerVel:(0.00, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:321   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.20, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.02, 0.07, 0.05)  rightControllerVel:(0.01, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:331   leftController:(-0.14, 1.01, -0.31)  rightController:(0.16, 1.20, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.02, 0.08, 0.06)  rightControllerVel:(0.02, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:53:343   leftController:(-0.15, 1.01, -0.31)  rightController:(0.16, 1.20, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.67, -0.46)  leftControllerVel:(-0.02, 0.09, 0.07)  rightControllerVel:(0.03, -0.27, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
