2021.4.10 19:15:33:977   leftController:(-0.25, 0.87, -0.48)  rightController:(0.11, 0.89, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.05, 1.58, -0.63)  leftControllerVel:(-0.08, -0.05, -0.05)  rightControllerVel:(0.91, -0.47, -0.17)  leftTrackerVel:(-0.01, -0.02, -0.01)  rightTrackerVel:(0.01, 0.02, -0.02)
2021.4.10 19:15:33:986   leftController:(-0.25, 0.87, -0.48)  rightController:(0.12, 0.89, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.05, 1.58, -0.63)  leftControllerVel:(-0.07, -0.05, -0.04)  rightControllerVel:(0.85, -0.52, -0.24)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.01, 0.02, -0.02)
2021.4.10 19:15:33:994   leftController:(-0.25, 0.87, -0.48)  rightController:(0.12, 0.88, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.05, 1.58, -0.63)  leftControllerVel:(-0.07, -0.05, -0.04)  rightControllerVel:(0.69, -0.53, -0.28)  leftTrackerVel:(-0.01, -0.01, 0.00)  rightTrackerVel:(0.00, 0.02, -0.03)
2021.4.10 19:15:34:03   leftController:(-0.25, 0.87, -0.48)  rightController:(0.12, 0.88, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.06, 1.58, -0.63)  leftControllerVel:(-0.05, -0.05, -0.04)  rightControllerVel:(0.33, -0.40, -0.28)  leftTrackerVel:(-0.01, -0.01, -0.01)  rightTrackerVel:(0.00, 0.02, -0.03)
2021.4.10 19:15:34:11   leftController:(-0.25, 0.87, -0.48)  rightController:(0.12, 0.88, -0.49)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.06, 1.58, -0.63)  leftControllerVel:(-0.04, -0.05, -0.04)  rightControllerVel:(0.02, -0.25, -0.21)  leftTrackerVel:(-0.01, -0.01, 0.00)  rightTrackerVel:(0.00, 0.02, -0.03)
2021.4.10 19:15:34:49   leftController:(-0.25, 0.86, -0.49)  rightController:(0.08, 0.88, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.02, -0.05, -0.03)  rightControllerVel:(-1.53, 0.35, 0.06)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:60   leftController:(-0.25, 0.86, -0.49)  rightController:(0.06, 0.89, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.02, -0.06, -0.03)  rightControllerVel:(-1.70, 0.39, -0.05)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:69   leftController:(-0.25, 0.86, -0.49)  rightController:(0.04, 0.89, -0.48)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.03, -0.06, -0.02)  rightControllerVel:(-1.75, 0.35, -0.21)  leftTrackerVel:(0.00, -0.02, 0.00)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:78   leftController:(-0.25, 0.86, -0.49)  rightController:(0.03, 0.90, -0.49)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.04, -0.06, -0.03)  rightControllerVel:(-1.71, 0.28, -0.35)  leftTrackerVel:(0.01, -0.02, 0.00)  rightTrackerVel:(0.00, 0.02, -0.04)
2021.4.10 19:15:34:87   leftController:(-0.25, 0.86, -0.49)  rightController:(0.01, 0.90, -0.49)  leftTracker:(-0.14, 0.20, -0.77)  rightTracker:(0.07, 0.25, -0.51)  headset:(-0.07, 1.58, -0.64)  leftControllerVel:(0.04, -0.06, -0.03)  rightControllerVel:(-1.55, 0.19, -0.51)  leftTrackerVel:(0.01, -0.02, 0.00)  rightTrackerVel:(0.00, 0.02, -0.04)
