2021.4.10 20:34:00:372   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.22, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.02, -0.34, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:386   leftController:(-0.01, 1.08, -0.58)  rightController:(0.23, 1.21, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.02, 0.01)  rightControllerVel:(0.04, -0.35, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:396   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.21, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.02, 0.02, 0.01)  rightControllerVel:(0.04, -0.36, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:405   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.21, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.02, 0.01)  rightControllerVel:(0.04, -0.36, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:414   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.20, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.03, 0.01)  rightControllerVel:(0.04, -0.36, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:423   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.20, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.03, 0.01)  rightControllerVel:(0.03, -0.36, -0.02)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:433   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.20, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.04, 0.02)  rightControllerVel:(0.03, -0.35, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:448   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.19, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.05, 0.02)  rightControllerVel:(0.03, -0.34, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:461   leftController:(-0.01, 1.08, -0.58)  rightController:(0.24, 1.19, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.06, 0.02)  rightControllerVel:(0.04, -0.33, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:471   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.18, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.08, 0.02)  rightControllerVel:(0.05, -0.32, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:487   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.18, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.01, 0.11, 0.01)  rightControllerVel:(0.06, -0.30, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:498   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.18, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.14, 0.01)  rightControllerVel:(0.07, -0.29, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:507   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.17, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.17, 0.01)  rightControllerVel:(0.08, -0.28, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:519   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.17, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.18, 0.01)  rightControllerVel:(0.08, -0.28, -0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:529   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.17, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.19, 0.01)  rightControllerVel:(0.09, -0.27, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:543   leftController:(-0.01, 1.10, -0.58)  rightController:(0.24, 1.16, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.21, 0.01)  rightControllerVel:(0.08, -0.27, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 20:34:00:556   leftController:(-0.01, 1.10, -0.58)  rightController:(0.24, 1.16, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.20, 0.01)  rightControllerVel:(0.07, -0.25, -0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:567   leftController:(-0.01, 1.10, -0.58)  rightController:(0.24, 1.16, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.79)  leftControllerVel:(0.00, 0.19, 0.02)  rightControllerVel:(0.05, -0.24, -0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:578   leftController:(-0.01, 1.10, -0.58)  rightController:(0.25, 1.15, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.00, 0.17, 0.02)  rightControllerVel:(0.04, -0.23, -0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:588   leftController:(-0.01, 1.11, -0.58)  rightController:(0.25, 1.15, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.01, 0.16, 0.03)  rightControllerVel:(0.04, -0.23, -0.09)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:598   leftController:(-0.01, 1.11, -0.58)  rightController:(0.25, 1.15, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.01, 0.14, 0.03)  rightControllerVel:(0.04, -0.23, -0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:607   leftController:(-0.01, 1.11, -0.58)  rightController:(0.25, 1.15, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.01, 0.13, 0.04)  rightControllerVel:(0.04, -0.24, -0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:619   leftController:(-0.01, 1.11, -0.58)  rightController:(0.25, 1.14, -0.53)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.00, 0.11, 0.04)  rightControllerVel:(0.04, -0.24, -0.08)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:34:00:634   leftController:(-0.01, 1.11, -0.58)  rightController:(0.25, 1.14, -0.54)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.63, -0.79)  leftControllerVel:(0.00, 0.07, 0.05)  rightControllerVel:(0.03, -0.26, -0.07)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
