2021.4.10 20:07:29:707   leftController:(0.33, 0.65, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(-0.03, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:717   leftController:(0.33, 0.65, -0.59)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, -0.01, 0.01)  rightControllerVel:(-0.03, 0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:728   leftController:(0.33, 0.65, -0.58)  rightController:(0.59, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, 0.00, 0.02)  rightControllerVel:(-0.05, 0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:742   leftController:(0.33, 0.65, -0.58)  rightController:(0.58, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, 0.01, 0.03)  rightControllerVel:(-0.06, 0.03, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:752   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.03, 0.01, 0.04)  rightControllerVel:(-0.07, 0.03, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:765   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, 0.02, 0.05)  rightControllerVel:(-0.07, 0.03, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:774   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, 0.03, 0.06)  rightControllerVel:(-0.06, 0.03, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:784   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.02, 0.03, 0.07)  rightControllerVel:(-0.07, 0.05, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:795   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.48)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.01, 0.04, 0.08)  rightControllerVel:(-0.08, 0.07, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:806   leftController:(0.33, 0.66, -0.58)  rightController:(0.58, 1.03, -0.48)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.55, -0.71)  leftControllerVel:(0.01, 0.04, 0.09)  rightControllerVel:(-0.07, 0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
