2021.4.10 19:37:22:850   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(0.02, 0.01, 0.08)  rightControllerVel:(-0.02, 0.15, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:865   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.24, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(0.02, 0.00, 0.07)  rightControllerVel:(0.01, 0.16, 0.09)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:875   leftController:(0.20, 1.25, -0.19)  rightController:(0.49, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(0.01, -0.01, 0.07)  rightControllerVel:(0.04, 0.17, 0.07)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:893   leftController:(0.20, 1.25, -0.19)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.03, -0.02, 0.06)  rightControllerVel:(0.07, 0.14, 0.05)  leftTrackerVel:(0.00, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:905   leftController:(0.20, 1.25, -0.19)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.05, -0.03, 0.05)  rightControllerVel:(0.05, 0.09, 0.04)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:915   leftController:(0.20, 1.25, -0.18)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.06, -0.04, 0.04)  rightControllerVel:(0.05, 0.06, 0.03)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:926   leftController:(0.20, 1.25, -0.18)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.06, -0.05, 0.03)  rightControllerVel:(0.03, 0.04, 0.04)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:934   leftController:(0.20, 1.25, -0.18)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.04, -0.05, 0.03)  rightControllerVel:(0.01, 0.01, 0.04)  leftTrackerVel:(0.00, 0.02, -0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:943   leftController:(0.20, 1.24, -0.18)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(-0.03, -0.06, 0.03)  rightControllerVel:(0.00, 0.00, 0.04)  leftTrackerVel:(0.00, 0.02, -0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:952   leftController:(0.20, 1.24, -0.18)  rightController:(0.50, 1.25, -0.19)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.36, 1.73, -0.47)  leftControllerVel:(0.00, -0.06, 0.03)  rightControllerVel:(-0.01, -0.01, 0.04)  leftTrackerVel:(0.00, 0.02, -0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
