2021.4.10 19:09:07:778   leftController:(0.33, 0.99, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.70)  leftControllerVel:(0.00, -0.02, -0.02)  rightControllerVel:(-0.01, -0.02, -0.08)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 19:09:07:789   leftController:(0.33, 0.99, -0.49)  rightController:(0.59, 0.97, -0.49)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.70)  leftControllerVel:(-0.01, -0.06, -0.03)  rightControllerVel:(-0.02, -0.01, -0.08)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 19:09:07:800   leftController:(0.33, 0.98, -0.49)  rightController:(0.59, 0.97, -0.50)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.70)  leftControllerVel:(-0.02, -0.09, -0.03)  rightControllerVel:(-0.03, 0.00, -0.08)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 19:09:07:812   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.50)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.69)  leftControllerVel:(-0.02, -0.12, -0.03)  rightControllerVel:(-0.04, 0.00, -0.08)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.02, 0.00, 0.01)
2021.4.10 19:09:07:828   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.50)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.69)  leftControllerVel:(-0.04, -0.16, -0.03)  rightControllerVel:(-0.06, -0.01, -0.09)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.03, -0.01, 0.00)
2021.4.10 19:09:07:836   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.97, -0.50)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.69)  leftControllerVel:(-0.05, -0.18, -0.04)  rightControllerVel:(-0.06, -0.01, -0.09)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, -0.01, 0.00)
2021.4.10 19:09:07:845   leftController:(0.32, 0.98, -0.49)  rightController:(0.59, 0.96, -0.50)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.69)  leftControllerVel:(-0.07, -0.19, -0.04)  rightControllerVel:(-0.06, -0.02, -0.09)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, -0.01, 0.00)
2021.4.10 19:09:07:856   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.96, -0.50)  leftTracker:(0.44, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.45, 1.58, -0.69)  leftControllerVel:(-0.09, -0.22, -0.04)  rightControllerVel:(-0.06, -0.03, -0.09)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.03, -0.01, 0.00)
2021.4.10 19:09:07:867   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.96, -0.50)  leftTracker:(0.44, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.44, 1.58, -0.69)  leftControllerVel:(-0.11, -0.24, -0.04)  rightControllerVel:(-0.05, -0.03, -0.10)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.03, -0.01, 0.00)
2021.4.10 19:09:07:879   leftController:(0.32, 0.97, -0.49)  rightController:(0.59, 0.96, -0.50)  leftTracker:(0.44, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.65)  headset:(0.44, 1.57, -0.69)  leftControllerVel:(-0.12, -0.25, -0.04)  rightControllerVel:(-0.04, -0.04, -0.10)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.02, -0.01, -0.01)
